,Term,ID,Definition,Synonyms,HPO_ID
48,Macroorchidism,0000053,The presence of abnormally large testes.,"Large testicles, Large testis",HP:0000053
49,Micropenis,0000054,"Abnormally small penis. At birth, the normal penis is about 3 cm (stretched length from pubic tubercle to tip of penis) with micropenis less than 2.0-2.5 cm.","Short penis, Small penis",HP:0000054
50,Abnormality of female external genitalia,0000055,An abnormality of the female external genitalia.,Abnormal female external genitalia,HP:0000055
51,Abnormality of the clitoris,0000056,An abnormality of the clitoris.,Abnormality of the clit,HP:0000056
52,Abnormal labia morphology,0000058,"An anomaly of the labia, the externally visible portions of the vulva.",Abnormality of the labia,HP:0000058
53,Hypoplastic labia majora,0000059,Undergrowth of the outer labia.,"Hypoplasia of labia majora, Small labia majora, Underdeveloped vaginal lips",HP:0000059
54,Clitoral hypoplasia,0000060,Developmental hypoplasia of the clitoris.,"Hypoplastic clitoris, Small clitoris, Underdeveloped clit",HP:0000060
55,"Ambiguous genitalia, female",0000061,Ambiguous genitalia in an individual with XX genetic gender.,Atypical appearance of female genitals,HP:0000061
56,Ambiguous genitalia,0000062,A genital phenotype that is not clearly assignable to a single gender. Ambiguous genitalia can be evaluated using the Prader scale: Prader 0: Normal female external genitalia. Prader 1: Female external genitalia with clitoromegaly. Prader 2: Clitoromegaly with partial labial fusion forming a funnel-shaped urogenital sinus. Prader 3: Increased phallic enlargement. Complete labioscrotal fusion forming a urogenital sinus with a single opening. Prader 4: Complete scrotal fusion with urogenital opening at the base or on the shaft of the phallus. Prader 5: Normal male external genitalia. The diagnosis of ambiguous genitalia is made for Prader 1-4.,"Ambiguous external genitalia, Ambiguous external genitalia at birth, Intersex genitalia",HP:0000062
57,Fused labia minora,0000063,Fusion of the labia minora as a result of labial adhesions resulting in vaginal obstruction.,Fused inner lips,HP:0000063
58,Hypoplastic labia minora,0000064,,Underdeveloped inner lips,HP:0000064
59,Labial hypertrophy,0000065,,"Enlarged vaginal lips, Enlargement of the labia, Enlargement of the vaginal lips",HP:0000065
60,Labial hypoplasia,0000066,,"Hypoplastic labia, Underdeveloped labia",HP:0000066
61,"Urethral atresia, female",0000067,Congenital anomaly characterized by closure or failure to develop an opening in the urethra in females.,,HP:0000067
62,Urethral atresia,0000068,Congenital anomaly characterized by closure or failure to develop an opening in the urethra.,"Absent urethral opening, Urethral opening absent",HP:0000068
63,Abnormality of the ureter,0000069,An abnormality of the ureter. The ureter is the duct by which urine passes from the kidney to the bladder.,"Abnormality of the ureters, Ureter issue, Ureteral anomalies",HP:0000069
64,Ureterocele,0000070,A ureterocele is a congenital saccular dilatation of the distal segment of the ureter.,,HP:0000070
65,Ureteral stenosis,0000071,"The presence of a stenotic, i.e., constricted ureter.",Narrowing of the ureter,HP:0000071
66,Hydroureter,0000072,The distention of the ureter with urine.,"Dilated ureter, Megaureter, Swelling of ureter, Ureteral dilatation, Wide ureter",HP:0000072
67,Ureteral duplication,0000073,"A developmental anomaly characterized by the presence of two, instead of one, ureter connecting a kidney to the bladder.",Double ureter,HP:0000073
68,Ureteropelvic junction obstruction,0000074,Blockage of urine flow from the renal pelvis to the proximal ureter.,"Pelviureteric junction obstruction, Ureteropelvic junction stenosis",HP:0000074
69,Renal duplication,0000075,"A congenital anomaly of the urinary tract, in which the kidney is duplicated and is drained via two separate renal pelves and ureters.",Extra kidney,HP:0000075
70,Vesicoureteral reflux,0000076,Abnormal (retrograde) movement of urine from the bladder into ureters or kidneys related to inadequacy of the valvular mechanism at the ureterovesicular junction or other causes.,"Ureteral reflux, Ureteric reflux, Vesico-ureteral reflux, Vesicoureteric reflux",HP:0000076
71,Abnormality of the kidney,0000077,An abnormality of the kidney.,"Abnormal kidney, Abnormality of the kidney, Renal anomalies, Renal anomaly",HP:0000077
72,Abnormality of the genital system,0000078,An abnormality of the genital system.,"Genital abnormalities, Genital abnormality, Genital anomalies, Genital defects",HP:0000078
73,Abnormality of the urinary system,0000079,An abnormality of the urinary system.,"Urinary tract abnormalities, Urinary tract abnormality, Urinary tract anomalies",HP:0000079
74,Abnormality of reproductive system physiology,0000080,An abnormal functionality of the genital system.,"Abnormality of reproductive system physiology, Genital functional abnormality",HP:0000080
75,Duplicated collecting system,0000081,"A duplication of the collecting system of the kidney, defined as a kidney with two (instead of, normally, one) pyelocaliceal systems. The pyelocaliceal system is comprised of the renal pelvis and calices. The duplicated renal collecting system can be associated with a single ureter or with double ureters. In the latter case, the two ureters empty separately into the bladder or fuse to form a single ureteral orifice.","Double collecting system, Double urinary collecting systems on intravenous pyelography, Duplex collecting system, Duplicated renal collecting system",HP:0000081
76,Renal insufficiency,0000083,"A reduction in the level of performance of the kidneys in areas of function comprising the concentration of urine, removal of wastes, the maintenance of electrolyte balance, homeostasis of blood pressure, and calcium metabolism.","Renal failure, Renal failure in adulthood",HP:0000083
77,Horseshoe kidney,0000085,A connection of the right and left kidney by an isthmus of functioning renal parenchyma or fibrous tissue that crosses the midline.,"Horseshoe kidney, Horseshoe kidneys",HP:0000085
78,Ectopic kidney,0000086,A developmental defect in which a kidney is located in an abnormal anatomic position.,"Abnormal kidney location, Displaced kidney, Ectopic kidneys, Renal ectopia",HP:0000086
79,Renal hypoplasia,0000089,Hypoplasia of the kidney.,"Hypoplastic kidney, Hypoplastic kidneys, Small kidneys, Underdeveloped kidneys",HP:0000089
80,Nephronophthisis,0000090,Presence of cysts at the corticomedullary junction of the kidney in combination with tubulointerstitial fibrosis.,juvenile nephronophthisis,HP:0000090
81,Abnormal renal tubule morphology,0000091,An abnormality of the renal tubules.,"Abnormality of the renal tubule, Morphologic abnormality of the renal tubules",HP:0000091
82,Renal tubular atrophy,0000092,"The presence of renal tubules with thick redundant basement membranes, or a reduction of greater than 50% in tubular diameter compared to surrounding non-atrophic tubules.","Renal tubular cell atrophy, Tubular atrophy",HP:0000092
83,Proteinuria,0000093,Increased levels of protein in the urine.,"High urine protein levels, Protein in urine",HP:0000093
84,Abnormal renal glomerulus morphology,0000095,A structural anomaly of the glomerulus.,"Abnormality of renal glomerulus morphology, Morphologic abnormality of the renal glomerulus",HP:0000095
85,Glomerular sclerosis,0000096,Accumulation of scar tissue within the glomerulus.,Glomerulosclerosis,HP:0000096
86,Focal segmental glomerulosclerosis,0000097,Segmental accumulation of scar tissue in individual (but not all) glomeruli.,"Focal and segmental glomerular sclerosis, Focal and segmental glomerulosclerosis, focal glomerulosclerosis",HP:0000097
87,Tall stature,0000098,A height above that which is expected according to age and gender norms.,"Accelerated linear growth, Increased body height, Increased linear growth, Tall stature",HP:0000098
88,Glomerulonephritis,0000099,Inflammation of the renal glomeruli.,Glomerular nephritis,HP:0000099
89,Nephrotic syndrome,0000100,"Nephrotic syndrome is a collection of findings resulting from glomerular dysfunction with an increase in glomerular capillary wall permeability associated with pronounced proteinuria. Nephrotic syndrome refers to the constellation of clinical findings that result from severe renal loss of protein, with Proteinuria and hypoalbuminemia, edema, and hyperlipidemia.",Nephrosis,HP:0000100
90,Polyuria,0000103,An increased rate of urine production.,Increased urine output,HP:0000103
91,Renal agenesis,0000104,"Agenesis, that is, failure of the kidney to develop during embryogenesis and development.","Absent kidney, Missing kidney, Renal aplasia",HP:0000104
92,Enlarged kidney,0000105,An abnormal increase in the size of the kidney.,"Enlarged kidney, Large kidneys, Nephromegaly, Renal enlargement",HP:0000105
93,Renal cyst,0000107,A fluid filled sac in the kidney.,Kidney cyst,HP:0000107
94,Renal corticomedullary cysts,0000108,The presence of multiple cysts at the border between the renal cortex and medulla.,Corticomedullary renal cysts,HP:0000108
95,Renal dysplasia,0000110,The presence of developmental dysplasia of the kidney.,"Dysplastic kidneys, Renal adysplasia",HP:0000110
96,Renal juxtaglomerular cell hypertrophy/hyperplasia,0000111,Increased number and size of the juxtaglomerular cells.,,HP:0000111
97,Nephropathy,0000112,A nonspecific term referring to disease or damage of the kidneys.,,HP:0000112
98,Polycystic kidney dysplasia,0000113,The presence of multiple cysts in both kidneys.,"Enlarged polycystic kidneys, Polycystic kidneys",HP:0000113
99,Proximal tubulopathy,0000114,"Dysfunction of the proximal tubule, which is the portion of the duct system of the nephron of the kidney which leads from Bowman's capsule to the loop of Henle.","Proximal renal tubule defect, Proximal renal tubulopathy, Proximal tubular defect, Proximal tubule dysfunction, Selective proximal tubular damage",HP:0000114
100,Renal phosphate wasting,0000117,High urine phosphate in the presence of hypophosphatemia.,"Decreased renal tubular phosphate reabsorption, Decreased tubular maximum for phosphate reabsorption per glomerular filtration rate, Tubular phosphate reabsorption low",HP:0000117
101,Phenotypic abnormality,0000118,A phenotypic abnormality.,Organ abnormality,HP:0000118
102,Abnormality of the genitourinary system,0000119,The presence of any abnormality of the genitourinary system.,"Abnormality of the GU system, Genitourinary abnormality, Genitourinary tract anomalies, Genitourinary tract malformation, Urogenital abnormalities, Urogenital anomalies",HP:0000119
103,Nephrocalcinosis,0000121,Nephrocalcinosis is the deposition of calcium salts in renal parenchyma.,Too much calcium deposited in kidneys,HP:0000121
104,Unilateral renal agenesis,0000122,A unilateral form of agenesis of the kidney.,"Absent kidney on one side, Missing one kidney, Single kidney, Unilateral kidney agenesis",HP:0000122
105,Nephritis,0000123,The presence of inflammation affecting the kidney.,Kidney inflammation,HP:0000123
106,Renal tubular dysfunction,0000124,"Abnormal function of the renal tubule. The basic functional unit of the kidney, the nephron, consists of a renal corpuscle attached to a renal tubule, with roughly 0.8 to 1.5 nephrons per adult kidney. The functions of the renal tubule include reabsorption of water, electrolytes, glucose, and amino acids and secretion of substances such as uric acid.","Abnormal function of filtrating structures in kidney, Renal tubular defect",HP:0000124
107,Pelvic kidney,0000125,A developmental defect in which a kidney is located in an abnormal anatomic position within the pelvis.,Sacral kidney,HP:0000125
108,Hydronephrosis,0000126,Severe distention of the kidney with dilation of the renal pelvis and calices.,,HP:0000126
109,Renal salt wasting,0000127,A high concentration of one or more electrolytes in the urine in the presence of low serum concentrations of the electrolyte(s).,"Loss of salt in urine, Renal salt-wasting, Salt wasting, Salt-wasting",HP:0000127
110,Renal potassium wasting,0000128,High urine potassium in the presence of hypokalemia.,Renal K wasting,HP:0000128
111,Abnormality of the uterus,0000130,An abnormality of the uterus.,"Abnormality of the uterus, Uterine abnormalities, Uterine malformations",HP:0000130
112,Uterine leiomyoma,0000131,The presence of a leiomyoma of the uterus.,"Benign uterine leiomyomas, Uterine fibroid",HP:0000131
113,Menorrhagia,0000132,Prolonged and excessive menses at regular intervals in excess of 80 mL or lasting longer than 7 days.,"Abnormally heavy bleeding during menstruation, Abnormally heavy periods, Hypermenorrhea",HP:0000132
114,Gonadal dysgenesis,0000133,,"Mixed gonadal dysgenesis, Pure gonadal dysgenesis",HP:0000133
115,Female hypogonadism,0000134,"Decreased functionality of the female gonads, i.e., of the ovary.","Hypogonadism, female",HP:0000134
116,Hypogonadism,0000135,A decreased functionality of the gonad.,Decreased activity of gonads,HP:0000135
117,Bifid uterus,0000136,The presence of a bifid uterus.,,HP:0000136
118,Abnormality of the ovary,0000137,An abnormality of the ovary.,"Abnormality of the ovaries, Abnormality of the ovary",HP:0000137
119,Ovarian cyst,0000138,The presence of one or more cysts of the ovary.,"Cystic abnormalities of the ovaries, Cystic ovaries, Ovarian cyst, Ovarian cystic abnormality",HP:0000138
120,Uterine prolapse,0000139,The presence of prolapse of the uterus.,Sagging uterus,HP:0000139
121,Abnormality of the menstrual cycle,0000140,An abnormality of the ovulation cycle.,Abnormality of the menstrual cycle,HP:0000140
122,Amenorrhea,0000141,Absence of menses for an interval of time equivalent to a total of more than (or equal to) 3 previous cycles or 6 months.,Abnormal absence of menstruation,HP:0000141
123,Abnormal vagina morphology,0000142,Any structural abnormality of the vagina.,Vaginal malformation,HP:0000142
124,Rectovaginal fistula,0000143,The presence of a fistula between the vagina and the rectum.,Abnormal connection between rectum and vagina,HP:0000143
125,Decreased fertility,0000144,,"Abnormal fertility, Decreased fertility",HP:0000144
126,Transverse vaginal septum,0000145,,Transverse vaginal membrane,HP:0000145
127,Polycystic ovaries,0000147,,"Polycystic ovary, Sclerocystic ovaries",HP:0000147
128,Vaginal atresia,0000148,Congenital occlusion of the vagina or adhesion of the walls of the vagina causing occlusion.,Abnormally closed or absent vagina,HP:0000148
129,Ovarian gonadoblastoma,0000149,The presence of a gonadoblastoma of the ovary.,"Gonadoblastoma, female",HP:0000149
130,Gonadoblastoma,0000150,"The presence of a gonadoblastoma, a neoplasm of a gonad that consists of aggregates of germ cells and sex cord elements.",,HP:0000150
131,Aplasia of the uterus,0000151,Aplasia of the uterus.,"Absent uterus, uterus absent",HP:0000151
132,Abnormality of head or neck,0000152,An abnormality of head and neck.,"Abnormality of head or neck, Head and neck abnormality",HP:0000152
133,Abnormality of the mouth,0000153,An abnormality of the mouth.,"Abnormal mouth, Abnormality of the mouth",HP:0000153
134,Wide mouth,0000154,"Distance between the oral commissures more than 2 SD above the mean. Alternatively, an apparently increased width of the oral aperture (subjective).","Broad mouth, Large mouth, Large oral aperture, Macrostomia, Wide mouth",HP:0000154
135,Oral ulcer,0000155,"Erosion of the mucous mebrane of the mouth with local excavation of the surface, resulting from the sloughing of inflammatory necrotic tissue.","Mouth ulcer, Oral mucosal ulceration",HP:0000155
136,Abnormality of the tongue,0000157,Any abnormality of the tongue.,"Abnormal tongue, Abnormality of the tongue, Glossal abnormality, Lingual abnormality, Tongue abnormality",HP:0000157
137,Macroglossia,0000158,Increased length and width of the tongue.,"Abnormally large tongue, Hyperplasia of the tongue, Hypertrophy of the tongue, Increased size of tongue, Large tongue, Tongue hypertrophy",HP:0000158
138,Abnormal lip morphology,0000159,An abnormality of the lip.,"Abnormal lip, Abnormality of the lip, Lip abnormality",HP:0000159
139,Narrow mouth,0000160,"Distance between the commissures of the mouth more than 2 SD below the mean. Alternatively, an apparently decreased width of the oral aperture (subjective).","Microstomia, Narrow mouth, Small mouth, Small oral aperture",HP:0000160
140,Median cleft lip,0000161,A type of cleft lip presenting as a midline (median) gap in the upper lip.,"Central cleft upper lip, Midline cleft lip",HP:0000161
141,Glossoptosis,0000162,"Posterior displacement of the tongue into the pharynx, i.e., a tongue that is mislocalised posteriorly.","Lingual retraction, Retraction of the tongue",HP:0000162
142,Abnormal oral cavity morphology,0000163,"Abnormality of the oral cavity, i.e., the opening or hollow part of the mouth.",Abnormality of the oral cavity,HP:0000163
143,Abnormality of the dentition,0000164,Any abnormality of the teeth.,"Abnormal dentition, Abnormal teeth, Dental abnormalities, Dental abnormality, Dental anomalies",HP:0000164
144,Severe periodontitis,0000166,A severe form of periodontitis.,"Severe periodontal disease, Severe pyorrhea",HP:0000166
145,Abnormality of the gingiva,0000168,Any abnormality of the gingiva (also known as gums).,"Abnormality of the gums, Gingival abnormality",HP:0000168
146,Gingival fibromatosis,0000169,The presence of fibrosis of the gingiva.,"Gingival fibroma, Gingival fibrous nodules",HP:0000169
147,Microglossia,0000171,Decreased length and width of the tongue.,"Abnormally small tongue, Decreased size of tongue, Hypoglossia, Hypoplasia of the tongue, Hypoplastic tongue, Lingual hypoplasia, Rudimentary tongue, Small tongue, Underdevelopment of the tongue",HP:0000171
148,Abnormal uvula morphology,0000172,"Abnormality of the uvula, the conic projection from the posterior edge of the middle of the soft palate.","Abnormality of palatine uvula, Abnormality of the uvula",HP:0000172
149,Abnormal palate morphology,0000174,"Any abnormality of the palate, i.e., of roof of the mouth.","Abnormality of the palate, Abnormality of the roof of the mouth, Palatal anomaly, Palate abnormality",HP:0000174
150,Cleft palate,0000175,Cleft palate is a developmental defect of the palate resulting from a failure of fusion of the palatine processes and manifesting as a separation of the roof of the mouth (soft and hard palate).,"Cleft hard and soft palate, Cleft of hard and soft palate, Cleft of palate, Cleft palate, Cleft roof of mouth, Palatoschisis, Uranostaphyloschisis",HP:0000175
151,Submucous cleft hard palate,0000176,Hard-palate submucous clefts are characterized by bony defects in the midline of the bony palate that are covered by the mucous membrane of the roof of the mouth. It may be possible to detect a submucous cleft hard palate upon palpation as a notch in the bony palate.,"Partial thickness cleft hard palate, Submucosal cleft palate",HP:0000176
152,Abnormal upper lip morphology,0000177,An abnormality of the upper lip.,Abnormality of upper lip,HP:0000177
153,Abnormal lower lip morphology,0000178,An abnormality of the lower lip.,Abnormality of lower lip,HP:0000178
154,Thick lower lip vermilion,0000179,"Increased thickness of the lower lip, leading to a prominent appearance of the lower lip. The height of the vermilion of the lower lip in the midline is more than 2 SD above the mean. Alternatively, an apparently increased height of the vermilion of the lower lip in the frontal view (subjective).","Full lower lip vermilion, Increased height of lower lip vermilion, Increased volume of lower lip, Increased volume of lower lip vermilion, Plump lower lip, Prominent lower lip, Thick vermilion border of lower lip",HP:0000179
155,Lobulated tongue,0000180,Multiple indentations and/or elevations on the edge and/or surface of the tongue producing an irregular surface contour.,"Bumpy tongue, Lingual lobules, Lobulate tongue",HP:0000180
156,Movement abnormality of the tongue,0000182,,"Abnormality of lingual movement, Movement abnormality of the tongue",HP:0000182
157,Difficulty in tongue movements,0000183,,"Difficulty in lingual movements, Difficulty in tongue movements",HP:0000183
158,Cleft soft palate,0000185,"Cleft of the soft palate (also known as the velum, or muscular palate) as a result of a developmental defect occurring between the 7th and 12th week of pregnancy. Cleft soft palate can cause functional abnormalities of the Eustachian tube with resulting middle ear anomalies and hearing difficulties, as well as speech problems associated with hypernasal speech due to velopharyngeal insufficiency.","Cleft muscular palate, Cleft of soft palate, Cleft velum",HP:0000185
159,Broad alveolar ridges,0000187,,"Broad alveolar margins, Widened alveolar ridges",HP:0000187
160,Short upper lip,0000188,Decreased width of the upper lip.,"Decreased height of upper lip, Decreased upper labial height, Decreased upper labial length, Decreased vertical length of upper lip, Short upper lip, Shortening of upper lip, Vertical deficiency of upper lip",HP:0000188
161,Narrow palate,0000189,Width of the palate more than 2 SD below the mean (objective) or apparently decreased palatal width (subjective).,"Decreased palatal width, Decreased transverse dimension of palate, Narrow palate, Narrow roof of mouth",HP:0000189
162,Abnormal oral frenulum morphology,0000190,"An abnormality of the lingual frenulum, that is of the small fold of mucous membrane that attaches the tongue to the floor of the mouth, or the presence of accessory frenula in the oral cavity.","Abnormality of frenum of tongue, Abnormality of lingual frenum, Abnormality of oral frenula, Abnormality of oral frenum",HP:0000190
163,Accessory oral frenulum,0000191,Extra fold of tissue extending from the alveolar ridge to the inner surface of the upper or lower lip.,"Accessory oral frenum, Extra oral frenulum, Extra oral frenum, Multiple oral frenula, Supernumerary oral frenulum, Supernumerary oral frenum",HP:0000191
164,Bifid uvula,0000193,Uvula separated into two parts most easily seen at the tip.,"Bifid palatine uvula, Cleft of uvula, Cleft uvula, Forked uvula, Split uvula, Uvula bifida",HP:0000193
165,Open mouth,0000194,A facial appearance characterized by a permanently or nearly permanently opened mouth.,"Gaped jawed appearance, Gaped mouthed appearance, Open mouth, Slack jawed appearance",HP:0000194
166,Lower lip pit,0000196,"Depression located on the vermilion of the lower lip, usually paramedian.",,HP:0000196
167,Abnormal parotid gland morphology,0000197,"Any abnormality of the parotid glands, which are the salivary glands that are located in the subcutaneous tissues of the face overlying the mandibular ramus and anterior and inferior to the external ear.","Abnormality of parotid gland, Anomaly of the parotid gland",HP:0000197
168,Absence of Stensen duct,0000198,,"Absence of parotid duct, Absent stensen duct, Failure of development of parotid duct, Failure of development of stensen duct, Missing parotid duct, Missing stensen duct",HP:0000198
169,Tongue nodules,0000199,,Lingual nodules,HP:0000199
170,Short lingual frenulum,0000200,The presence of an abnormally short lingual frenulum.,"Deficiency of lingual frenulum, Short lingual frenum, Short tongue frenulum, Short tongue frenum, Tight lingual frenulum",HP:0000200
171,Pierre-Robin sequence,0000201,"Pierre Robin malformation is a sequence of developmental malformations characterized by micrognathia (mandibular hypoplasia), glossoptosis and cleft palate.","Pierre Robin sequence, Pierre-robin anomaly, Pierre-robin deformity, Pierre-robin malformation, Robin sequence",HP:0000201
172,Oral cleft,0000202,"The presence of a cleft in the oral cavity, the two main types of which are cleft lip and cleft palate. In cleft lip, there is the congenital failure of the maxillary and median nasal processes to fuse, forming a groove or fissure in the lip. In cleft palate, there is a congenital failure of the palate to fuse properly, forming a grooved depression or fissure in the roof of the mouth. Clefts of the lip and palate can occur individually or together. It is preferable to code each defect separately.","Cleft of the mouth, Oral clefting",HP:0000202
173,Cleft upper lip,0000204,A gap in the upper lip. This is a congenital defect resulting from nonfusion of tissues of the lip during embryonal development.,"Cheiloschisis of upper lip, Cleft upper lip, Harelip",HP:0000204
174,Pursed lips,0000205,An abnormality of the appearance of the face caused by constant contraction of the lips leading to a puckered or pursed appearance.,"Pursed lips, Tightly closed lips",HP:0000205
175,Glossitis,0000206,Inflammation of the tongue.,"Inflammation of the tongue, Lingual inflammation, Smooth swollen tongue",HP:0000206
