Term,ID,Definition,Synonyms
Abnormal testis morphology,35,An anomaly of the testicle (the male gonad).,"Abnormality of the testis, Anomaly of the testes"
Abnormal penis morphology,36,Abnormality of the male external sex organ.,Abnormality of the penis
Male pseudohermaphroditism,37,"Hermaphroditism refers to a discrepancy between the morphology of the gonads and that of the external genitalia. In male pseudohermaphroditism, the genotype is male (XY) and the external genitalia are imcompletely virilized, ambiguous, or complete female. If gonads are present, they are testes.",
Epispadias,39,"Epispadias is a urogenital malformation characterized by the failure of the urethral tube to tubularize on the dorsal aspect. Unlike in hypospadias, where the meatus is on the ventral aspect, children with epispadias have a wide-open urethral plate on the dorsum. It is commonly seen as a component in the spectrum of bladder exstrophy-epispadias-complex. Isolated epispadias constitutes less than 10 percent of the total cases of epispadias.",
Long penis,40,Penile length more than 2 SD above the mean for age.,"Enlarged penis, Long penis"
Chordee,41,"Ventral, lateral, or ventrolateral bowing of the shaft and glans penis of more than 30 degrees.",
Absent external genitalia,42,Lack of external genitalia in a male or female individual.,Absent external genitalia
Hypogonadotropic hypogonadism,44,Hypogonadotropic hypogonadism is characterized by reduced function of the gonads (testes in males or ovaries in females) and results from the absence of the gonadal stimulating pituitary hormones: follicle stimulating hormone (FSH) and luteinizing hormone (LH).,"Hypogonadotrophic hypogonadism, Low gonadotropins (secondary hypogonadism)"
Abnormality of the scrotum,45,,
Small scrotum,46,Apparently small scrotum for age.,"Hypoplastic scrotum, Scrotal hypoplasia, Smaller than typical growth of scrotum, Underdeveloped scrotum"
Hypospadias,47,"Abnormal position of urethral meatus on the ventral penile shaft (underside) characterized by displacement of the urethral meatus from the tip of the glans penis to the ventral surface of the penis, scrotum, or perineum.",Hypospadia
Bifid scrotum,48,Midline indentation or cleft of the scrotum.,"Cleft of scrotum, Scrotal cleft"
Shawl scrotum,49,Superior margin of the scrotum superior to the base of the penis.,"Overriding scrotum, Scrotum surrounds penis"
Hypoplastic male external genitalia,50,"Underdevelopment of part or all of the male external reproductive organs (which include the penis, the scrotum and the urethra).","Hypoplastic male genitalia, Small male external genitalia, Underdeveloped male genitalia"
Perineal hypospadias,51,Hypospadias with location of the urethral meatus in the perineal region.,
"Urethral atresia, male",52,Congenital anomaly characterized by closure or failure to develop an opening in the urethra in males.,
Macroorchidism,53,The presence of abnormally large testes.,"Large testicles, Large testis"
Micropenis,54,"Abnormally small penis. At birth, the normal penis is about 3 cm (stretched length from pubic tubercle to tip of penis) with micropenis less than 2.0-2.5 cm.","Short penis, Small penis"
Abnormality of female external genitalia,55,An abnormality of the female external genitalia.,Abnormal female external genitalia
Abnormality of the clitoris,56,An abnormality of the clitoris.,Abnormality of the clit
Abnormal labia morphology,58,"An anomaly of the labia, the externally visible portions of the vulva.",Abnormality of the labia
Hypoplastic labia majora,59,Undergrowth of the outer labia.,"Hypoplasia of labia majora, Small labia majora, Underdeveloped vaginal lips"
Clitoral hypoplasia,60,Developmental hypoplasia of the clitoris.,"Hypoplastic clitoris, Small clitoris, Underdeveloped clit"
"Ambiguous genitalia, female",61,Ambiguous genitalia in an individual with XX genetic gender.,Atypical appearance of female genitals
Ambiguous genitalia,62,A genital phenotype that is not clearly assignable to a single gender. Ambiguous genitalia can be evaluated using the Prader scale: Prader 0: Normal female external genitalia. Prader 1: Female external genitalia with clitoromegaly. Prader 2: Clitoromegaly with partial labial fusion forming a funnel-shaped urogenital sinus. Prader 3: Increased phallic enlargement. Complete labioscrotal fusion forming a urogenital sinus with a single opening. Prader 4: Complete scrotal fusion with urogenital opening at the base or on the shaft of the phallus. Prader 5: Normal male external genitalia. The diagnosis of ambiguous genitalia is made for Prader 1-4.,"Ambiguous external genitalia, Ambiguous external genitalia at birth, Intersex genitalia"
Fused labia minora,63,Fusion of the labia minora as a result of labial adhesions resulting in vaginal obstruction.,Fused inner lips
Hypoplastic labia minora,64,,Underdeveloped inner lips
Labial hypertrophy,65,,"Enlarged vaginal lips, Enlargement of the labia, Enlargement of the vaginal lips"
Labial hypoplasia,66,,"Hypoplastic labia, Underdeveloped labia"
"Urethral atresia, female",67,Congenital anomaly characterized by closure or failure to develop an opening in the urethra in females.,
Urethral atresia,68,Congenital anomaly characterized by closure or failure to develop an opening in the urethra.,"Absent urethral opening, Urethral opening absent"
Abnormality of the ureter,69,An abnormality of the ureter. The ureter is the duct by which urine passes from the kidney to the bladder.,"Abnormality of the ureters, Ureter issue, Ureteral anomalies"
Ureterocele,70,A ureterocele is a congenital saccular dilatation of the distal segment of the ureter.,
Ureteral stenosis,71,"The presence of a stenotic, i.e., constricted ureter.",Narrowing of the ureter
Hydroureter,72,The distention of the ureter with urine.,"Dilated ureter, Megaureter, Swelling of ureter, Ureteral dilatation, Wide ureter"
Ureteral duplication,73,"A developmental anomaly characterized by the presence of two, instead of one, ureter connecting a kidney to the bladder.",Double ureter
Ureteropelvic junction obstruction,74,Blockage of urine flow from the renal pelvis to the proximal ureter.,"Pelviureteric junction obstruction, Ureteropelvic junction stenosis"
Renal duplication,75,"A congenital anomaly of the urinary tract, in which the kidney is duplicated and is drained via two separate renal pelves and ureters.",Extra kidney
Vesicoureteral reflux,76,Abnormal (retrograde) movement of urine from the bladder into ureters or kidneys related to inadequacy of the valvular mechanism at the ureterovesicular junction or other causes.,"Ureteral reflux, Ureteric reflux, Vesico-ureteral reflux, Vesicoureteric reflux"
Abnormality of the kidney,77,An abnormality of the kidney.,"Abnormal kidney, Abnormality of the kidney, Renal anomalies, Renal anomaly"
Abnormality of the genital system,78,An abnormality of the genital system.,"Genital abnormalities, Genital abnormality, Genital anomalies, Genital defects"
Abnormality of the urinary system,79,An abnormality of the urinary system.,"Urinary tract abnormalities, Urinary tract abnormality, Urinary tract anomalies"
Abnormality of reproductive system physiology,80,An abnormal functionality of the genital system.,"Abnormality of reproductive system physiology, Genital functional abnormality"
Duplicated collecting system,81,"A duplication of the collecting system of the kidney, defined as a kidney with two (instead of, normally, one) pyelocaliceal systems. The pyelocaliceal system is comprised of the renal pelvis and calices. The duplicated renal collecting system can be associated with a single ureter or with double ureters. In the latter case, the two ureters empty separately into the bladder or fuse to form a single ureteral orifice.","Double collecting system, Double urinary collecting systems on intravenous pyelography, Duplex collecting system, Duplicated renal collecting system"
Renal insufficiency,83,"A reduction in the level of performance of the kidneys in areas of function comprising the concentration of urine, removal of wastes, the maintenance of electrolyte balance, homeostasis of blood pressure, and calcium metabolism.","Renal failure, Renal failure in adulthood"
Horseshoe kidney,85,A connection of the right and left kidney by an isthmus of functioning renal parenchyma or fibrous tissue that crosses the midline.,"Horseshoe kidney, Horseshoe kidneys"
Ectopic kidney,86,A developmental defect in which a kidney is located in an abnormal anatomic position.,"Abnormal kidney location, Displaced kidney, Ectopic kidneys, Renal ectopia"
Renal hypoplasia,89,Hypoplasia of the kidney.,"Hypoplastic kidney, Hypoplastic kidneys, Small kidneys, Underdeveloped kidneys"
Nephronophthisis,90,Presence of cysts at the corticomedullary junction of the kidney in combination with tubulointerstitial fibrosis.,juvenile nephronophthisis
Abnormal renal tubule morphology,91,An abnormality of the renal tubules.,"Abnormality of the renal tubule, Morphologic abnormality of the renal tubules"
Renal tubular atrophy,92,"The presence of renal tubules with thick redundant basement membranes, or a reduction of greater than 50% in tubular diameter compared to surrounding non-atrophic tubules.","Renal tubular cell atrophy, Tubular atrophy"
Proteinuria,93,Increased levels of protein in the urine.,"High urine protein levels, Protein in urine"
Abnormal renal glomerulus morphology,95,A structural anomaly of the glomerulus.,"Abnormality of renal glomerulus morphology, Morphologic abnormality of the renal glomerulus"
Glomerular sclerosis,96,Accumulation of scar tissue within the glomerulus.,Glomerulosclerosis
Focal segmental glomerulosclerosis,97,Segmental accumulation of scar tissue in individual (but not all) glomeruli.,"Focal and segmental glomerular sclerosis, Focal and segmental glomerulosclerosis, focal glomerulosclerosis"
Tall stature,98,A height above that which is expected according to age and gender norms.,"Accelerated linear growth, Increased body height, Increased linear growth, Tall stature"
Glomerulonephritis,99,Inflammation of the renal glomeruli.,Glomerular nephritis
Nephrotic syndrome,100,"Nephrotic syndrome is a collection of findings resulting from glomerular dysfunction with an increase in glomerular capillary wall permeability associated with pronounced proteinuria. Nephrotic syndrome refers to the constellation of clinical findings that result from severe renal loss of protein, with Proteinuria and hypoalbuminemia, edema, and hyperlipidemia.",Nephrosis
Polyuria,103,An increased rate of urine production.,Increased urine output
Renal agenesis,104,"Agenesis, that is, failure of the kidney to develop during embryogenesis and development.","Absent kidney, Missing kidney, Renal aplasia"
Enlarged kidney,105,An abnormal increase in the size of the kidney.,"Enlarged kidney, Large kidneys, Nephromegaly, Renal enlargement"
Renal cyst,107,A fluid filled sac in the kidney.,Kidney cyst
Renal corticomedullary cysts,108,The presence of multiple cysts at the border between the renal cortex and medulla.,Corticomedullary renal cysts
Renal dysplasia,110,The presence of developmental dysplasia of the kidney.,"Dysplastic kidneys, Renal adysplasia"
Renal juxtaglomerular cell hypertrophy/hyperplasia,111,Increased number and size of the juxtaglomerular cells.,
Nephropathy,112,A nonspecific term referring to disease or damage of the kidneys.,
Polycystic kidney dysplasia,113,The presence of multiple cysts in both kidneys.,"Enlarged polycystic kidneys, Polycystic kidneys"
Proximal tubulopathy,114,"Dysfunction of the proximal tubule, which is the portion of the duct system of the nephron of the kidney which leads from Bowman's capsule to the loop of Henle.","Proximal renal tubule defect, Proximal renal tubulopathy, Proximal tubular defect, Proximal tubule dysfunction, Selective proximal tubular damage"
Renal phosphate wasting,117,High urine phosphate in the presence of hypophosphatemia.,"Decreased renal tubular phosphate reabsorption, Decreased tubular maximum for phosphate reabsorption per glomerular filtration rate, Tubular phosphate reabsorption low"
Phenotypic abnormality,118,A phenotypic abnormality.,Organ abnormality
Abnormality of the genitourinary system,119,The presence of any abnormality of the genitourinary system.,"Abnormality of the GU system, Genitourinary abnormality, Genitourinary tract anomalies, Genitourinary tract malformation, Urogenital abnormalities, Urogenital anomalies"
Nephrocalcinosis,121,Nephrocalcinosis is the deposition of calcium salts in renal parenchyma.,Too much calcium deposited in kidneys
Unilateral renal agenesis,122,A unilateral form of agenesis of the kidney.,"Absent kidney on one side, Missing one kidney, Single kidney, Unilateral kidney agenesis"
Nephritis,123,The presence of inflammation affecting the kidney.,Kidney inflammation
Renal tubular dysfunction,124,"Abnormal function of the renal tubule. The basic functional unit of the kidney, the nephron, consists of a renal corpuscle attached to a renal tubule, with roughly 0.8 to 1.5 nephrons per adult kidney. The functions of the renal tubule include reabsorption of water, electrolytes, glucose, and amino acids and secretion of substances such as uric acid.","Abnormal function of filtrating structures in kidney, Renal tubular defect"
Pelvic kidney,125,A developmental defect in which a kidney is located in an abnormal anatomic position within the pelvis.,Sacral kidney
Hydronephrosis,126,Severe distention of the kidney with dilation of the renal pelvis and calices.,
Renal salt wasting,127,A high concentration of one or more electrolytes in the urine in the presence of low serum concentrations of the electrolyte(s).,"Loss of salt in urine, Renal salt-wasting, Salt wasting, Salt-wasting"
Renal potassium wasting,128,High urine potassium in the presence of hypokalemia.,Renal K wasting
Abnormality of the uterus,130,An abnormality of the uterus.,"Abnormality of the uterus, Uterine abnormalities, Uterine malformations"
Uterine leiomyoma,131,The presence of a leiomyoma of the uterus.,"Benign uterine leiomyomas, Uterine fibroid"
Menorrhagia,132,Prolonged and excessive menses at regular intervals in excess of 80 mL or lasting longer than 7 days.,"Abnormally heavy bleeding during menstruation, Abnormally heavy periods, Hypermenorrhea"
Gonadal dysgenesis,133,,"Mixed gonadal dysgenesis, Pure gonadal dysgenesis"
Female hypogonadism,134,"Decreased functionality of the female gonads, i.e., of the ovary.","Hypogonadism, female"
Hypogonadism,135,A decreased functionality of the gonad.,Decreased activity of gonads
Bifid uterus,136,The presence of a bifid uterus.,
Abnormality of the ovary,137,An abnormality of the ovary.,"Abnormality of the ovaries, Abnormality of the ovary"
Ovarian cyst,138,The presence of one or more cysts of the ovary.,"Cystic abnormalities of the ovaries, Cystic ovaries, Ovarian cyst, Ovarian cystic abnormality"
Uterine prolapse,139,The presence of prolapse of the uterus.,Sagging uterus
Abnormality of the menstrual cycle,140,An abnormality of the ovulation cycle.,Abnormality of the menstrual cycle
Amenorrhea,141,Absence of menses for an interval of time equivalent to a total of more than (or equal to) 3 previous cycles or 6 months.,Abnormal absence of menstruation
Abnormal vagina morphology,142,Any structural abnormality of the vagina.,Vaginal malformation
Rectovaginal fistula,143,The presence of a fistula between the vagina and the rectum.,Abnormal connection between rectum and vagina
Decreased fertility,144,,"Abnormal fertility, Decreased fertility"
Transverse vaginal septum,145,,Transverse vaginal membrane
Polycystic ovaries,147,,"Polycystic ovary, Sclerocystic ovaries"
Vaginal atresia,148,Congenital occlusion of the vagina or adhesion of the walls of the vagina causing occlusion.,Abnormally closed or absent vagina
Ovarian gonadoblastoma,149,The presence of a gonadoblastoma of the ovary.,"Gonadoblastoma, female"
Gonadoblastoma,150,"The presence of a gonadoblastoma, a neoplasm of a gonad that consists of aggregates of germ cells and sex cord elements.",
Aplasia of the uterus,151,Aplasia of the uterus.,"Absent uterus, uterus absent"
Abnormality of head or neck,152,An abnormality of head and neck.,"Abnormality of head or neck, Head and neck abnormality"
Abnormality of the mouth,153,An abnormality of the mouth.,"Abnormal mouth, Abnormality of the mouth"
Wide mouth,154,"Distance between the oral commissures more than 2 SD above the mean. Alternatively, an apparently increased width of the oral aperture (subjective).","Broad mouth, Large mouth, Large oral aperture, Macrostomia, Wide mouth"
Oral ulcer,155,"Erosion of the mucous mebrane of the mouth with local excavation of the surface, resulting from the sloughing of inflammatory necrotic tissue.","Mouth ulcer, Oral mucosal ulceration"
Abnormality of the tongue,157,Any abnormality of the tongue.,"Abnormal tongue, Abnormality of the tongue, Glossal abnormality, Lingual abnormality, Tongue abnormality"
Macroglossia,158,Increased length and width of the tongue.,"Abnormally large tongue, Hyperplasia of the tongue, Hypertrophy of the tongue, Increased size of tongue, Large tongue, Tongue hypertrophy"
Abnormal lip morphology,159,An abnormality of the lip.,"Abnormal lip, Abnormality of the lip, Lip abnormality"
Narrow mouth,160,"Distance between the commissures of the mouth more than 2 SD below the mean. Alternatively, an apparently decreased width of the oral aperture (subjective).","Microstomia, Narrow mouth, Small mouth, Small oral aperture"
Median cleft lip,161,A type of cleft lip presenting as a midline (median) gap in the upper lip.,"Central cleft upper lip, Midline cleft lip"
Glossoptosis,162,"Posterior displacement of the tongue into the pharynx, i.e., a tongue that is mislocalised posteriorly.","Lingual retraction, Retraction of the tongue"
Abnormal oral cavity morphology,163,"Abnormality of the oral cavity, i.e., the opening or hollow part of the mouth.",Abnormality of the oral cavity
Abnormality of the dentition,164,Any abnormality of the teeth.,"Abnormal dentition, Abnormal teeth, Dental abnormalities, Dental abnormality, Dental anomalies"
Severe periodontitis,166,A severe form of periodontitis.,"Severe periodontal disease, Severe pyorrhea"
Abnormality of the gingiva,168,Any abnormality of the gingiva (also known as gums).,"Abnormality of the gums, Gingival abnormality"
Gingival fibromatosis,169,The presence of fibrosis of the gingiva.,"Gingival fibroma, Gingival fibrous nodules"
Microglossia,171,Decreased length and width of the tongue.,"Abnormally small tongue, Decreased size of tongue, Hypoglossia, Hypoplasia of the tongue, Hypoplastic tongue, Lingual hypoplasia, Rudimentary tongue, Small tongue, Underdevelopment of the tongue"
Abnormal uvula morphology,172,"Abnormality of the uvula, the conic projection from the posterior edge of the middle of the soft palate.","Abnormality of palatine uvula, Abnormality of the uvula"
Abnormal palate morphology,174,"Any abnormality of the palate, i.e., of roof of the mouth.","Abnormality of the palate, Abnormality of the roof of the mouth, Palatal anomaly, Palate abnormality"
Cleft palate,175,Cleft palate is a developmental defect of the palate resulting from a failure of fusion of the palatine processes and manifesting as a separation of the roof of the mouth (soft and hard palate).,"Cleft hard and soft palate, Cleft of hard and soft palate, Cleft of palate, Cleft palate, Cleft roof of mouth, Palatoschisis, Uranostaphyloschisis"
Submucous cleft hard palate,176,Hard-palate submucous clefts are characterized by bony defects in the midline of the bony palate that are covered by the mucous membrane of the roof of the mouth. It may be possible to detect a submucous cleft hard palate upon palpation as a notch in the bony palate.,"Partial thickness cleft hard palate, Submucosal cleft palate"
Abnormal upper lip morphology,177,An abnormality of the upper lip.,Abnormality of upper lip
Abnormal lower lip morphology,178,An abnormality of the lower lip.,Abnormality of lower lip
Thick lower lip vermilion,179,"Increased thickness of the lower lip, leading to a prominent appearance of the lower lip. The height of the vermilion of the lower lip in the midline is more than 2 SD above the mean. Alternatively, an apparently increased height of the vermilion of the lower lip in the frontal view (subjective).","Full lower lip vermilion, Increased height of lower lip vermilion, Increased volume of lower lip, Increased volume of lower lip vermilion, Plump lower lip, Prominent lower lip, Thick vermilion border of lower lip"
Lobulated tongue,180,Multiple indentations and/or elevations on the edge and/or surface of the tongue producing an irregular surface contour.,"Bumpy tongue, Lingual lobules, Lobulate tongue"
Movement abnormality of the tongue,182,,"Abnormality of lingual movement, Movement abnormality of the tongue"
Difficulty in tongue movements,183,,"Difficulty in lingual movements, Difficulty in tongue movements"
Cleft soft palate,185,"Cleft of the soft palate (also known as the velum, or muscular palate) as a result of a developmental defect occurring between the 7th and 12th week of pregnancy. Cleft soft palate can cause functional abnormalities of the Eustachian tube with resulting middle ear anomalies and hearing difficulties, as well as speech problems associated with hypernasal speech due to velopharyngeal insufficiency.","Cleft muscular palate, Cleft of soft palate, Cleft velum"
Broad alveolar ridges,187,,"Broad alveolar margins, Widened alveolar ridges"
Short upper lip,188,Decreased width of the upper lip.,"Decreased height of upper lip, Decreased upper labial height, Decreased upper labial length, Decreased vertical length of upper lip, Short upper lip, Shortening of upper lip, Vertical deficiency of upper lip"
Narrow palate,189,Width of the palate more than 2 SD below the mean (objective) or apparently decreased palatal width (subjective).,"Decreased palatal width, Decreased transverse dimension of palate, Narrow palate, Narrow roof of mouth"
Abnormal oral frenulum morphology,190,"An abnormality of the lingual frenulum, that is of the small fold of mucous membrane that attaches the tongue to the floor of the mouth, or the presence of accessory frenula in the oral cavity.","Abnormality of frenum of tongue, Abnormality of lingual frenum, Abnormality of oral frenula, Abnormality of oral frenum"
Accessory oral frenulum,191,Extra fold of tissue extending from the alveolar ridge to the inner surface of the upper or lower lip.,"Accessory oral frenum, Extra oral frenulum, Extra oral frenum, Multiple oral frenula, Supernumerary oral frenulum, Supernumerary oral frenum"
Bifid uvula,193,Uvula separated into two parts most easily seen at the tip.,"Bifid palatine uvula, Cleft of uvula, Cleft uvula, Forked uvula, Split uvula, Uvula bifida"
Open mouth,194,A facial appearance characterized by a permanently or nearly permanently opened mouth.,"Gaped jawed appearance, Gaped mouthed appearance, Open mouth, Slack jawed appearance"
Lower lip pit,196,"Depression located on the vermilion of the lower lip, usually paramedian.",
Abnormal parotid gland morphology,197,"Any abnormality of the parotid glands, which are the salivary glands that are located in the subcutaneous tissues of the face overlying the mandibular ramus and anterior and inferior to the external ear.","Abnormality of parotid gland, Anomaly of the parotid gland"
Absence of Stensen duct,198,,"Absence of parotid duct, Absent stensen duct, Failure of development of parotid duct, Failure of development of stensen duct, Missing parotid duct, Missing stensen duct"
Tongue nodules,199,,Lingual nodules
Short lingual frenulum,200,The presence of an abnormally short lingual frenulum.,"Deficiency of lingual frenulum, Short lingual frenum, Short tongue frenulum, Short tongue frenum, Tight lingual frenulum"
Pierre-Robin sequence,201,"Pierre Robin malformation is a sequence of developmental malformations characterized by micrognathia (mandibular hypoplasia), glossoptosis and cleft palate.","Pierre Robin sequence, Pierre-robin anomaly, Pierre-robin deformity, Pierre-robin malformation, Robin sequence"
Oral cleft,202,"The presence of a cleft in the oral cavity, the two main types of which are cleft lip and cleft palate. In cleft lip, there is the congenital failure of the maxillary and median nasal processes to fuse, forming a groove or fissure in the lip. In cleft palate, there is a congenital failure of the palate to fuse properly, forming a grooved depression or fissure in the roof of the mouth. Clefts of the lip and palate can occur individually or together. It is preferable to code each defect separately.","Cleft of the mouth, Oral clefting"
Cleft upper lip,204,A gap in the upper lip. This is a congenital defect resulting from nonfusion of tissues of the lip during embryonal development.,"Cheiloschisis of upper lip, Cleft upper lip, Harelip"
Pursed lips,205,An abnormality of the appearance of the face caused by constant contraction of the lips leading to a puckered or pursed appearance.,"Pursed lips, Tightly closed lips"
Glossitis,206,Inflammation of the tongue.,"Inflammation of the tongue, Lingual inflammation, Smooth swollen tongue"
Triangular mouth,207,The presence of a triangular form of the mouth.,"Triangular mouth, Triangular shaped mouth, Triangular shaped oral aperture"
Trismus,211,Limitation in the ability to open the mouth.,"Lockjaw, Pain of muscles of mastication"
Gingival overgrowth,212,"Hyperplasia of the gingiva (that is, a thickening of the soft tissue overlying the alveolar ridge. The degree of thickening ranges from involvement of the interdental papillae alone to gingival overgrowth covering the entire tooth crown.","Gingival enlargement, Gingival hyperplasia, Gum enlargement, Gum hypertrophy, Hypertrophic gingivitis"
Lip telangiectasia,214,"Telangiectasia (that is, the presence of small dilated superficial blood vessels) of the lips.","Labial telangiectasia, Lip telangiectases, Telangiectasia of the lips"
Thick upper lip vermilion,215,"Height of the vermilion of the upper lip in the midline more than 2 SD above the mean. Alternatively, an apparently increased height of the vermilion of the upper lip in the frontal view (subjective).","Full upper lip, Full upper lip vermilion, Increased height of upper lip vermilion, Increased volume of upper lip, Increased volume of upper lip vermilion, Plump upper lip, Prominent upper lip, Thick upper lip, Thick vermilion border of upper lip"
Broad secondary alveolar ridge,216,,Secondary alveolar ridges
Xerostomia,217,Dryness of the mouth due to salivary gland dysfunction.,"Dry mouth, Dry mouth syndrome, Reduced salivation"
High palate,218,Height of the palate more than 2 SD above the mean (objective) or palatal height at the level of the first permanent molar more than twice the height of the teeth (subjective).,"Elevated palate, High arched palate, High palate, High, arched palate, High-arched palate, Increased palatal height, Palate high-arched, Palate, high-arched"
Thin upper lip vermilion,219,"Height of the vermilion of the upper lip in the midline more than 2 SD below the mean. Alternatively, an apparently reduced height of the vermilion of the upper lip in the frontal view (subjective).","Decreased height of upper lip vermilion, Decreased volume of upper lip, Decreased volume of upper lip vermilion, Thin upper lip, Thin vermilion border of upper lip"
Velopharyngeal insufficiency,220,Inability of velopharyngeal sphincter to sufficiently separate the nasal cavity from the oral cavity during speech.,Velopharyngeal incompetence
Furrowed tongue,221,Accentuation of the grooves on the dorsal surface of the tongue.,"Fissured tongue, Grooved tongue, Lingua plicata, Lingual furrow, Plicated tongue, Prominent tongue grooves, Scrotal tongue"
Gingival hyperkeratosis,222,Hyperkeratosis of the gingiva.,"Hyperkeratosis, gingival"
Abnormality of taste sensation,223,,Abnormality of taste sensation
Hypogeusia,224,A decreased ability to perceive flavor.,"Decreased taste, Decreased taste sensation"
Gingival bleeding,225,Hemorrhage affecting the gingiva.,"Bleeding gums, Gingival haemorrhage, Gingival hemorrhage, Gingivorrhagia"
Tongue telangiectasia,227,"Telangiectasia (that is, the presence of small dilated superficial blood vessels) of the tongue.",Lingual telangiectasia
Oral cavity telangiectasia,228,Presence of telangiectases in the oral cavity.,Oral cavity teleangiectasia
Gingivitis,230,Inflammation of the gingiva.,"Gingival inflammation, Inflamed gums, Red and swollen gums"
Everted lower lip vermilion,232,"An abnormal configuration of the lower lip such that it is turned outward i.e., everted, with the Inner aspect of the lower lip vermilion (normally opposing the teeth) being visible in a frontal view.","Drooping lower lip, Eclabium of lower lip, Everted lower lip, Everted prominent lower lip, Outward turned lower lip"
Thin vermilion border,233,"Height of the vermilion of the medial part of the lip more than 2 SD below the mean, or apparently reduced height of the vermilion of the lip in the frontal view. The vermilion is the red part of the lips (and confusingly, the vermilion itself is also often referred to as being equivalent the lips).","Decreased volume of lip, Decreased volume of lip vermillion, Thin lips, Thin vermillion"
Abnormality of the head,234,An abnormality of the head.,"Abnormal head, Abnormality of the head, Head abnormality"
Abnormality of the fontanelles or cranial sutures,235,Any abnormality of the fontanelles (the regions covered by a thick membrane that normally ossify in the first two years of life) or the cranial sutures (the fibrous joints in which the articulating bones or cartilages of the skull are connected by sutural ligaments).,
