,Definition,ClassificationLevel
117,"von hippel-lindau disease (vhl) is a familial cancer predisposition syndrome associated with a variety of malignant and benign neoplasms, most frequently retinal, cerebellar, and spinal hemangioblastoma, renal cell carcinoma (rcc), and pheochromocytoma.",Disorder
142,"a rare eye tumor disease representing the most common intraocular malignancy in children. it is a life threatening neoplasia but is potentially curable and it can be hereditary or non hereditary, unilateral or bilateral.",Disorder
146,"a rare genetic disease associated with mild to severe intellectual deficit that may be associated with behavioral disorders and characteristic physical features including a high forehead, prominent and large ears, hyperextensible finger joints, flat feet with pronation and, in adolescent and adult males, macroorchidism.",Disorder
147,"rheumatic fever (rf) is a multisystem inflammatory disease occurring as a post-infectious, nonsuppurative sequela of untreated streptococcus pyogenes (group a streptococcus [gas]) pharyngitis, and mainly occurs in individuals aged 5 to 15 years. the most common presenting signs are fever, migratory polyarthritis and carditis.",Disorder
149,"a clinically variable form of isolated agammaglobulinemia, an inherited immunodeficiency disorder, characterized in affected males by recurrent bacterial infections during infancy.",Subtype of disorder
150,"a lysosomal storage disease with multisystemic involvement leading to a massive accumulation of glycosaminoglycans and a wide variety of symptoms including distinctive coarse facial features, short stature, cardio-respiratory involvement and skeletal abnormalities. it manifests as a continuum varying from a severe form with neurodegeneration to an attenuated form without neuronal involvement.",Disorder
151,"mucopolysaccharidosis type 1 (mps 1) is a rare lysosomal storage disease belonging to the group of mucopolysaccharidoses. there are three variants, differing widely in their severity, with hurler syndrome being the most severe, scheie syndrome the mildest and hurler-scheie syndrome giving an intermediate phenotype.",Disorder
152,"a rare genetic disorder of copper metabolism presenting with non-specific hepatic, neurologic, psychiatric or ophthalmologic manifestations due to impaired biliary copper excretion and consecutive excessive copper deposition in the body.",Disorder
155,"a form of cutaneous lupus erythematosus (cle) that can present either as a non-scarring, annular photo-distributed dermatosis or psoriasiform plaques. this disorder is associated with anti-ro/ssa antibodies and can be drug-induced.",Disorder
157,"a form of cutaneous lupus erythematosus (cle) that includes five different forms: discoid lupus erythematosus (dle), chilblain lupus, hypertrophic or verrucous lupus erythematosus, lupus erythematosus tumidus, and lupus erythematosus panniculitis.",Group of disorders
204,"the 2p21 microdeletion syndrome consists of cystinuria, neonatal seizures, hypotonia, severe growthand developmental delay, facial dysmorphism, and lactic acidemia.",Disorder
213,"lesch-nyhan syndrome (lns) is the most severe form of hypoxanthine-guanine phosphoribosyltransferase (hprt) deficiency (see this term), a hereditary disorder of purine metabolism, and is associated with uric acid overproduction (uao), neurological troubles, and behavioral problems.",Disorder
226,"a rare disorder marked by short stature with short extremities (final adult height is 120cm +/- 10cm), and joint malformations leading to multiple joint contractures (principally involving the shoulders, elbows, interphalangeal joints and hips).",Disorder
233,"an acrocephalosyndactyly associated with craniosynostosis, midfacial hypoplasia, hand and foot malformation with a wide range of clinical expression and severity. most of the affected patients show various other associated manifestations.",Disorder
243,"cat eye syndrome (ces) is a rare chromosomal disorder with a highly variable clinical presentation. most patients have multiple malformations affecting the eyes (iris coloboma), ears (preauricular pits and/or tags), anal region (anal atresia), heart and kidneys. intellectual disability is usually mild or borderline normal.",Disorder
253,"mccune-albright syndrome (mas) is classically defined by the clinical triad of fibrous dysplasia of bone (fd), café-au-lait skin spots, and precocious puberty (pp).",Disorder
255,"a group of clinically heterogeneous diseases, commonly defined by lack of cellular energy due to defects of oxidative phosphorylation (oxphos), resulting from pathogenic mutations in the nuclear dna. mitochondrial oxidative phosphorylation disorder due to nuclear dna anomalies includes diseases classified according to defects in: genes encoding structural components of oxphos complexes (such as leigh syndrome, coenzyme q10 deficiency); genes encoding assembly factors of oxphos complexes (such as gracile syndrome); genes altering the stability of mitochondrial dna (such as autosomal dominant progressive external ophthalmoplegia, mitochondrial dna depletion syndrome); mitochondrial protein synthesis.",Disorder
262,"schistosomiasis is an infectious disease caused by parasitic trematodes of the genus <i>schistosoma</i> that colonize human blood vessels and release eggs that can cause granulomatous reactions leading to acute (swimmer's itch or acute schistosomiasis syndrome) or chronic disease. depending on where the eggs lodge, manifestations of chronic schistosomiasis can include diarrhea, abdominal pain, loss of appetite, anemia (intestines), hepatosplenism, periportal fibrosis with portal hypertension (liver), urogenital inflammation and scarring, hematuria and dysuria (genitourinary system). other patients may be asymptomatic.",Disorder
281,intermediate nemaline myopathy is a type of nemaline myopathy (nm; see this term) that shows features of typical nm (see this term) in neonates with a more severe progression.,Disorder
309,"a rare partial trisomy of the short arm of chromosome 18 manifesting with a highly variable clinical phenotype which may include variable developmental delay and intellectual disability, epilepsy, and non-specific dysmorphic features, among others.",Disorder
324,"primary peritoneal carcinoma (ppc) is a rare malignant tumor of the peritoneal cavity of extra-ovarian origin, clinically and histologically similar to advanced-stage serous ovarian carcinoma (see this term).",Disorder
328,malignant peritoneal mesothelioma is a primary peritoneal malignancy occurring in the lining cells (mesothelium) of the peritoneal cavity.,Disorder
336,"a rare sex chromosome aneuploidy where males receive an additional y chromosome, that is characterized clinically by tall stature evident from childhood, macrocephaly, facial features (mild hypertelorism, low set ears, a mildly flat malar region), speech delay and an increased risk for social and emotional difficulties, attention deficit hyperactive disorder and autistic spectrum disorder.",Disorder
338,"hypereosinophilic syndrome (hes) constitutes a rare and heterogeneous group of disorders, defined as persistent and marked blood eosinophilia and/or tissue eosinophilia associated with a wide range of clinical manifestations reflecting eosinophil-induced tissue/organ damage.",Group of disorders
343,monosomy 18p refers to a chromosomal disorder resulting from the deletion of all or part of the short arm of chromosome 18.,Disorder
348,"a large, or giant, congenital melanocytic nevus (lcmn or gcmn) is a pigmented skin lesion of more than 20 cm - or 40 cm- respectively, projected adult diameter, composed of melanocytes, and presenting with an elevated risk of malignant transformation.",Disorder
350,"pentasomy x is a sex chromosome anomaly caused by the presence of three extra x chromosomes in females (49,xxxxx instead of 46,xx).",Disorder
352,"glycogen storage disease (gsd) due to phosphorylase kinase deficiency is a group of inborn errors of glycogen metabolism that is clinically and genetically heterogeneous. this group comprises gsd due to liver phosphorylase kinase (phk) deficiency, gsd due to muscle phk deficiency and gsd due to liver and muscle phk deficiency (see these terms).",Group of disorders
363,bethlem myopathy is a benign autosomal dominant form of slowly progressive muscular dystrophy.,Disorder
366,"tetrasomy 18p is a very rare structural chromosomal anomaly affecting multiple body systems and characterized clinically by craniofacial abnormalities, delayed development, cognitive impairment, changes in muscle tone, distinctive facial features, and rarely renal malformations.",Disorder
367,"tetrasomy 18p is a very rare structural chromosomal anomaly affecting multiple body systems and characterized clinically by craniofacial abnormalities, delayed development, cognitive impairment, changes in muscle tone, distinctive facial features, and rarely renal malformations.",Disorder
370,"a variant of intermediate severity of the pbd-zellweger syndrome spectrum (pbd-zss) charcterized by hypotonia, leukodystrophy, and vision and sensorineural hearing deficiencies. phenotypic overlap is seen between nald and infantile refsum disease (ird).",Disorder
373,"a rare vascular malformation disorder with cutaneous and visceral lesions frequently associated with serious, potentially fatal bleeding and anemia.",Disorder
376,"a rare neurometabolic disorder of gamma-aminobutyric acid (gaba) metabolism with a nonspecific clinical presentation (ranging from mild to severe) with the most frequent symptoms being cognitive impairment with prominent deficit in expressive language, hypotonia, ataxia, epilepsy, and behavioral dysregulation.",Disorder
387,"tetrasomy x is a sex chromosome anomaly caused by the presence of two extra x chromosomes in females (48,xxxx instead of 46,xx).",Disorder
391,"a number of families have been described, where several members were affected with coarctation of aorta. in a systematic study of coarctation, familial aggregation was considered as result of multifactorial inheritance and recurrence risks in sibs was evaluated at about 0.5% for coarctation and 1.0% for any form of congenital heart defect. nevertheless, in some of the described families, aortic coarctations seems to be inherited as an autosomal dominant mutation.",Subtype of disorder
392,"a number of families have been described, where several members were affected with coarctation of aorta. in a systematic study of coarctation, familial aggregation was considered as result of multifactorial inheritance and recurrence risks in sibs was evaluated at about 0.5% for coarctation and 1.0% for any form of congenital heart defect. nevertheless, in some of the described families, aortic coarctations seems to be inherited as an autosomal dominant mutation.",Subtype of disorder
399,"hereditary north american indian childhood cirrhosis is a severe autosomal recessive intrahepatic cholestasis that has only been described in aboriginal children from northwestern quebec. manifesting first as transient neonatal jaundice, the disease evolves into periportal fibrosis and cirrhosis during a period ranging from childhood to adolescence.",Subtype of disorder
402,sudden infant death with dysgenesis of the testes (siddt) syndrome is a lethal condition in infants with dysgenesis of testes.,Disorder
403,"charlie m syndrome is a rare bone developmental disorder which belongs to a group of oromandibular limb hypogenesis syndromes that includes hypoglossia-hypodactyly and glossopalatine ankylosis (see these terms). the major anomalies which occur commonly in this group are hypoplasia of the mandible, syndactyly and ectrodactyly, small mouth, cleft palate, hypodontia, and facial paralysis. patients with charlie m syndrome also present with hypertelorism, absent or conically crowned incisors, and variable degrees of hypodactyly of the hands and feet. there have been no further descriptions in the literature since 1976.",Disorder
407,hypermethioninemia due to methionine adenosyltransferase deficiency is a very rare metabolic disorder resulting in isolated hepatic hypermethioninemia that is usually benign due to partial inactivation of enzyme activity. rarely patients have been found to have an odd odor or neurological disorders such as brain demyelination.,Disorder
408,hypermethioninemia due to methionine adenosyltransferase deficiency is a very rare metabolic disorder resulting in isolated hepatic hypermethioninemia that is usually benign due to partial inactivation of enzyme activity. rarely patients have been found to have an odd odor or neurological disorders such as brain demyelination.,Disorder
409,hypermethioninemia due to methionine adenosyltransferase deficiency is a very rare metabolic disorder resulting in isolated hepatic hypermethioninemia that is usually benign due to partial inactivation of enzyme activity. rarely patients have been found to have an odd odor or neurological disorders such as brain demyelination.,Subtype of disorder
419,blackfan-diamond anemia (dba) is a congenital aregenerative and often macrocytic anemia with erythroblastopenia.,Disorder
420,blackfan-diamond anemia (dba) is a congenital aregenerative and often macrocytic anemia with erythroblastopenia.,Disorder
421,"combined oxidative phosphorylation deficiency type 3 is an extremely rare clinically heterogenous disorder described in about 5 patients to date. clinical signs included hypotonia, lactic acidosis, and hepatic insufficiency, with progressive encephalomyopathy or hypertrophic cardiomyopathy.",Disorder
425,"bloom syndrome is a rare disorder associated with pre- and postnatal growth deficiency, a telangiectatic erythematous rash of the face and other sun-exposed areas, insulin resistance and predisposition to early onset and recurrent cancer of multiple organ systems.",Disorder
426,"a rare autosomal recessive amino acid metabolism disorder characterized clinically by variable degrees of hyperammonemia, developing from about 3 years of age, and leading to progressive loss of developmental milestones and spasticity in the absence of treatment.",Disorder
442,"a rare ectodermal dysplasia syndrome that often presents with the classic triad of nail dysplasia, skin pigmentary changes, and oral leukoplakia associated with a high risk of bone marrow failure (bmf) and cancer.",Disorder
444,"dubowitz syndrome (ds) is a rare multiple congenital syndrome characterized primarly by growth retardation, microcephaly, distinctive facial dysmorphism, cutaneous eczema, a mild to severe intellectual deficit and genital abnormalities.",Disorder
451,"isolated glycerol kinase deficiency (gkd) is a very rare x-linked disorder of glycerol metabolism characterized biochemically by elevated plasma and urine glycerol levels, and clinically by variable neurometabolic manifestations, depending on the age of onset, and varying from a life-threatening childhood metabolic crisis to an asymptomatic adult form (infantile gkd, juvenile gkd, and adult gkd (see these terms)).",Disorder
456,"dihydropteridine reductase (dhpr) deficiency is a severe form of hyperphenylalaninemia (hpa) due to impaired regeneration of tetrahydrobiopterin (bh4) (see this term), leading to decreased levels of neurotransmitters (dopamine, serotonin) and folate in cerebrospinal fluid, and causing neurological symptoms such as psychomotor delay, hypotonia, seizures, abnormal movements, hypersalivation, and swallowing difficulties.",Subtype of disorder
465,neonatal hemochromatosis (nh) is an iron storage disorder present at birth. it is a distinct entity that differs from adult hemochromatosis with respect to its molecular origin.,Disorder
478,"foetal parvovirus syndrome is a foetopathy likely to occur when a pregnant woman is infected by parvovirus b19. in adults, the virus causes a butterfly erythema infectiosum (also called fifth disease; 'slapped cheek disease') and flu-like symptoms with symmetric polyarthralgias, which usually do not warrant prenatal diagnosis.",Disorder
484,"a rare congenital anomaly of the kidney and urinary tract (cakut) in which one or both kidneys (unilateral or bilateral mcdk respectively) are large, distended by multiple cysts, and non-functional. unilateral mcdk is typically asymptomatic if the other kidney is fully functional but may occasionally present with abdominal obstructive signs when the cysts become too large. bilateral mcdk is considered a lethal entity and neonates present with features of the potter sequence, severe pulmonary hypoplasia and severe renal failure, and generally die shortly after birth.",Disorder
486,"neuroblastoma is a malignant tumor of neural crest cells, the cells that give rise to the sympathetic nervous system, which is observed in children.",Disorder
494,pallister-killian syndrome (pks) is a rare multiple congenital anomaly/intellectual deficit syndrome caused by mosaic tissue-limited tetrasomy for chromosome 12p.,Disorder
504,"an infectious embryofetopathy that may present in an infant as a result of maternal infection early in pregnancy and subsequent fetal infection with rubella virus. the disorder can lead to deafness, cataract, and variety of other permanent manifestations including cardiac and neurological defects.",Disorder
509,"congenital short bowel syndrome is a rare intestinal disorder of neonates of unknown etiology. patients are born with a short small bowel (less than 75 cm in length) that compromises proper intestinal absorption and leads chronic diarrhea, vomiting and failure to thrive.",Disorder
510,"hereditary fructose intolerance (hfi) is an autosomal recessive disorder of fructose metabolism (see this term), resulting from a deficiency of hepatic fructose-1-phosphate aldolase activity and leading to gastrointestinal disorders and postprandial hypoglycemia following fructose ingestion. hfi is a benign condition when treated, but it is life-threatening and potentially fatal if left untreated.",Disorder
524,"a group of rare vaginal tumors comprising hpv-associated and hpv-independent squamous cell carcinoma, glandular tumors (including hpv-associated adenocarcinoma, endometrioid carcinoma, clear cell carcinoma, gastric type and intestinal type mucinous carcinoma, and mesonephric adenocarcinoma), adenocarcinoma of skene gland origin, adenosquamous carcinoma, and adenoid basal carcinoma. depending on the type of tumor and disease stage, patients may present with symptoms related to a vaginal mass, vaginal bleeding and/or discharge, postcoital bleeding, urinary symptoms, pelvic pain, and a foreign body sensation within the vagina.",Disorder
525,a progressive neurological disease defined by specific neuropathological features associating brainstem and basal ganglia lesions.,Group of disorders
530,a group of rare uterine adnexal tumors comprising non-metastasizing neoplasms arising from the fallopian tube. this includes epithelial tumors (benign serous tumors such as serous adenofibroma and papilloma) and mature teratomas. patients may be asymptomatic or present with tubal obstruction.,Disorder
532,a rare malformation consisting of a membrane-like structure that extends across the laryngeal lumen close to the level of the vocal cords.,Disorder
533,a rare malformation consisting of a membrane-like structure that extends across the laryngeal lumen close to the level of the vocal cords.,Disorder
535,"paget disease of the nipple describes a rare presentation of breast cancer, seen most frequently in women aged 50-60, manifesting with nipple drainage and itching, erythema, crusty and excoriated nipple, thickened plaques, and hyperpigmentation (less frequently). it is due to tumor cells invading the nipple-areola complex and represents 1-3% of all new breast cancer diagnoses.",Disorder
541,"a rare fibroepithelial neoplasm usually presenting in adult females with a well circumscribed mobile masses that grow rapidly and sometimes with additional non-specific symptoms such as dilated skin veins, nipple retraction, skin ulcers, palpable axillary lymphadenopathy or blue discoloration of the skin. the neoplasm can be benign or malignant.",Disorder
542,"a rare fibroepithelial neoplasm usually presenting in adult females with a well circumscribed mobile masses that grow rapidly and sometimes with additional non-specific symptoms such as dilated skin veins, nipple retraction, skin ulcers, palpable axillary lymphadenopathy or blue discoloration of the skin. the neoplasm can be benign or malignant.",Disorder
543,"giant adenofibroma of the breast is a rare, benign, fibroepithelial tumor which usually manifests as a unilateral, painless, firm, mobile, slow-growing mass in the breast that measures more than 5 cm. it can be associated with significant asymmetry and/or deformity of the breast and hormonal changes (e.g. puberty, pregnancy, oral contraceptives) can lead to its marked enlargement.",Disorder
545,"a muscular channelopathy presenting with a pure myotonia dramatically aggravated by potassium ingestion, with variable cold sensitivity and no episodic weakness. this group includes three forms: myotonia fluctuans, myotonia permanens, and acetazolamide-responsive myotonia.",Group of disorders
564,"early-onset autosomal dominant alzheimer disease (eoad) is a progressive dementia with reduction of cognitive functions. eoad presents the same phenotype as sporadic alzheimer disease (ad) but has an early age of onset, usually before 60 years old.",Disorder
593,a rare congenital neurocutaneous syndrome defined by a facial capillary malformation or port-wine birthmark (pwb) associated with cerebral and ocular ipsilateral vascular malformations in most of the cases resulting in variable ocular and neurological complications.,Disorder
595,"tracheal agenesis (ta) is a rare congenital malformation in which the trachea may be completely absent (agenesis), or partially in place but underdeveloped (atresia). in both cases, proximal-distal communication between the larynx and the alveoli of the lungs is lacking.",Disorder
604,"a rare form of botulism, a rare acquired neuromuscular junction disease with descending flaccid paralysis caused by botulinum neurotoxins (bonts). it is due to intestinal colonization by <i>clostridium botulinum</i> leading to toxin-mediated infection with toxemia.",Subtype of disorder
605,"a rare form of botulism, a rare acquired neuromuscular junction disease with descending flaccid paralysis caused by botulinum neurotoxins (bonts), and is due to intestinal colonization by <i>clostridium botulinum</i> leading to toxin-mediated infection with toxemia. the disease affects infants (infant botulism) and very rarely adults (adult intestinal botulism).",Subtype of disorder
606,"a rare form of botulism, a rare acquired neuromuscular junction disease with descending flaccid paralysis caused by botulinum neurotoxins (bonts), and is due to intestinal colonization by <i>clostridium botulinum</i> leading to toxin-mediated infection with toxemia. the disease affects infants (infant botulism) and very rarely adults (adult intestinal botulism).",Subtype of disorder
607,"wound botulism is a rare infectious form of botulism (see this term), a rare acquired neuromuscular junction disease with descending flaccid paralysis due to botulinum neurotoxins (bonts), produced after infection of wounds by <i>clostridium botulinum</i>.",Subtype of disorder
612,"isolated congenital vertical talus (cvt) is a rare pedal deformity recognizable at birth by a dislocation of the talonavicular joint, resulting in a characteristic radiographic near-vertical orientation of the talus.",Disorder
624,"inflammatory myofibroblastic tumor is a rare neoplastic lesion of the submucosal stroma, which can develop in any organ, often occurring in the lung, mesentery, omentum and the retroperitoneal region. it is histologically heterogenous, composed of spindle-shaped cells, myofibroblasts and inflammatory cells. it is usually benign, however local invasion, recurrence, malignant transformation with vascular invasion and metastases may occur. the presentation is nonspecific and depends on the organ involved. some patients may present with paraneoplastic syndrome (fever, malaise, weight loss, anemia, thrombocytosis) or symptoms related to compression of adjacent organs, such as bowel obstruction.",Disorder
643,"a very rare form of botulism, a rare acquired neuromuscular junction disease with descending flaccid paralysis caused by botulinum neurotoxins (bonts), and is due to intestinal colonization by <i>clostridium botulinum</i> leading to toxin-mediated infection with toxemia.",Subtype of disorder
644,"a rare bleeding disorder in association with carrier mutations in the <i>f8</i> gene (xq28) encoding coagulation factor viii (fviii), with a biological activity of fviii &#8805;40 iu/dl and characterized clinically by abnormal bleeding as a result of minor injuries or following trauma, surgery or tooth extraction. spontaneous hemorrhages may occur occasionally. heavy menstrual bleeding is the most frequent type of bleed in the carriers.",Subtype of disorder
646,"a rare bleeding disorder in association with carrier mutations in the <i>f9</i> gene (xq27.1) encoding coagulation factor ix (fix), with a biological activity of fix &#8805;40 iu/dl and characterized clinically by abnormal bleeding as a result of minor injuries or following trauma, surgery or tooth extraction. spontaneous hemorrhages may occur occasionally. heavy menstrual bleeding is the most frequent type of bleed in the carriers.",Subtype of disorder
651,"malignant hyperthermia (mh) is a pharmacogenetic disorder of skeletal muscle that presents as a hypermetabolic response to potent volatile anesthetic gases such as halothane, sevoflurane, desflurane and the depolarizing muscle relaxant succinylcholine, and rarely, to stresses such as vigorous exercise and heat.",Disorder
652,"malignant hyperthermia (mh) is a pharmacogenetic disorder of skeletal muscle that presents as a hypermetabolic response to potent volatile anesthetic gases such as halothane, sevoflurane, desflurane and the depolarizing muscle relaxant succinylcholine, and rarely, to stresses such as vigorous exercise and heat.",Subtype of disorder
656,"neuronal ceroid lipofuscinoses (ncls) are a group of inherited progressive degenerative brain diseases characterized clinically by a decline of mental and other capacities, epilepsy, and vision loss through retinal degeneration, and histopathologically by intracellular accumulation of an autofluorescent material, ceroid lipofuscin, in the neuronal cells in the brain and in the retina.",Group of disorders
658,"gaucher disease (gd) is a lysosomal storage disorder encompassing three main forms (types 1, 2 and 3), a fetal form and a variant with cardiac involvement (gaucher disease - ophthalmoplegia - cardiovascular calcification or gaucher-like disease).",Disorder
662,"gm1 gangliosidosis is a rare lysosomal storage disorder characterized biochemically by deficient beta-galactosidase activity and clinically by a wide range of variable neurovisceral, ophthalmological and dysmorphic features.",Disorder
669,the 8q22.1 microdeletion syndrome or nablus mask-like facial syndrome is a rare microdeletion syndrome associated with a distinct facial appearance.,Disorder
683,retinitis pigmentosa (rp) is an inherited retinal dystrophy leading to progressive loss of the photoreceptors and retinal pigment epithelium and resulting in blindness usually after several decades.,Disorder
687,"a rare immunologic pulmonary disorder caused by hypersensitivity to <i>aspergillus fumigatus</i>, clinically manifesting with poorly controlled asthma and recurrent pulmonary infiltrates.",Disorder
689,leptospirosis is an anthropozoonosis caused by spiral-shaped bacteria belonging to the genus leptospira. leptospirosis is a widespread zoonosis with a worldwide distribution and has emerged as a major public health problem in developing countries in south-east asia and south america.,Disorder
698,trisomy 10p is a syndrome of mental retardation/multiple congenital malformations (mr-mca) that is caused by the total or partial duplication of the short arm of chromosome 10.,Disorder
703,"shigellosis is a bacterial infection leading to dysentery and is caused by <i>shigella</i>, which are small, ubiquitous gram-negative bacteria belonging to the enterobacteria family. there are four species: <i>s. dysenteriae</i>, <i>s. flexneri</i>, <i>s. boydii</i> and <i>s. sonnei</i>, all of which cause bacillary dysentery and are strictly limited to human hosts.",Disorder
705,"a rare neoplastic disease defined as a clonal lymphoid proliferation affecting one or both lungs (parenchyma and/or bronchi) in a patient with no detectable extrapulmonary involvement at diagnosis or during the subsequent 3 months. ppl comprises low grade/indolent b cell ppl forms, the most frequent form represented by the marginal b-cell lymphoma of mucosa associated lymphoid tissue (malt lymphoma) and other non-malt low grade lymphomas; and more rarely high-grade b-cell ppl (including diffuse large b cell lymphoma) and lymphomatoid granulomatosis (lyg).",Disorder
706,"a rare inflammatory, necrotizing, systemic vasculitis that affects predominantly small vessels (i.e. small arteries, arterioles, capillaries, venules) in multiple organs, including the kidney, the lungs, the skin and the peripheral nerves.",Disorder
712,"diffuse panbronchiolitis is a rare chronic inflammatory obstructive pulmonary disease primarily affecting the respiratory bronchioles throughout both lungs and inducing sinobronchial infection. onset occurs in the second to fifth decade of life and manifests by chronic cough, exertional dyspnea, and sputum production. most patients also have chronic paranasal sinusitis",Disorder
720,"white sponge nevus (wsn) is a rare and autosomal dominant genetic disease in which the oral mucosa is white or greyish, thickened, folded, and spongy. the onset is early in life, and both sexes are affected equally. other common sites include the tongue, floor of the mouth, and alveolar mucosa.",Disorder
724,"lissencephaly (lis) due to tuba1a mutation is a congenital cortical development anomaly due to abnormal neuronal migration involving neocortical and hippocampal lamination, corpus callosum, cerebellum and brainstem. a large clinical spectrum can be observed, from children with severe epilepsy and intellectual and motor deficit to cases with severe cerebral dysgenesis in the antenatal period leading to pregnancy termination due to the severity of the prognosis.",Disorder
732,"exstrophy-epispadias complex (eec) represents a spectrum of genitourinary malformations ranging in severity from epispadias (e) and classical bladder exstrophy (ceb) to exstrophy of the cloaca (ec) as the most severe form (see these terms). depending on severity, the eec may involve the urinary system, the musculoskeletal system, the pelvis, the pelvic floor, the abdominal wall, the genitalia and sometimes the spine and the anus.",Disorder
735,"cap myopathy is a very rare congenital myopathy presenting a weakness of facial and respiratory muscles associated with craniofacial and thoracic deformities, as well as weakness of limb proximal and distal muscles. onset is at birth or in childhood, weakness progression is slow but may lead to a severe and even fatal prognosis.",Disorder
745,this syndrome associates progressive visual loss with scoliosis or kyphoscoliosis and arachnodactyly of the fingers and toes.,Disorder
750,"fiskerstrand type peripheral neuropathy is a slowly-progressive refsum-like disorder associating signs of peripheral neuropathy with late-onset hearing loss, cataract and pigmentary retinopathy that become evident during the third decade of life.",Disorder
755,"tetralogy of fallot is a congenital cardiac malformation that consists of an interventricular communication, also known as a ventricular septal defect, obstruction of the right ventricular outflow tract, override of the ventricular septum by the aortic root, and right ventricular hypertrophy.",Disorder
771,"paroxysmal dyskinesia (pd) is a rare heterogenous group of movement disorders manifesting as abnormal involuntary movements that recur episodically and last only a brief time. pd includes paroxysmal kinesigenic dyskinesia (pkd), paroxysmal non-kinesigenic dyskinesia (pnkd), paroxysmal exertion-induced dyskinesia (ped) and a variant form of pkd, infantile convulsion and choreoathetosis (icca syndrome) (see these terms).",Group of disorders
772,"congenital herpes virus infection is a group of anomalies that an infant may present as a result of maternal infection and subsequent foetal infection with herpes virus. this virus causes recurrent cutaneous infections in adults, often involving the lips or the genitalia. herpes infections in other organs, such as the liver or central nervous system, are less frequent.",Disorder
775,"dubin-johnson syndrome (djs) is a benign, inherited liver disorder characterized clinically by chronic, predominantly conjugated, hyperbilirubinemia and histopathologically by black-brown pigment deposition in parenchymal liver cells.",Disorder
800,a rare chronic infectious disorder in which almost all organ systems can be invaded by the rod-shaped bacterium tropheryma whipplei (<i>tw</i>).,Disorder
802,"hereditary hypercarotenemia and vitamin a deficiency is an extremely rare metabolic disorder characterized clinically by skin discoloration, elevated levels of carotene and low levels of vitamin a described in fewer than 5 patients to date.",Disorder
805,"gtp-cyclohydrolase i deficiency, an autosomal recessive genetic disorder, is one of the causes of malignant hyperphenylalaninemia due to tetrahydrobiopterin deficiency. not only does tetrahydrobiopterin deficiency cause hyperphenylalaninemia, it is also responsible for defective neurotransmission of monoamines because of malfunctioning tyrosine and tryptophan hydroxylases, both tetrahydrobiopterin-dependent hydroxylases.",Subtype of disorder
