OrphaCode,Name,ExpertLink,ClassOrphaCodes,ClassNames
163961,X-linked cerebral-cerebellar-coloboma syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163961,93890,Rare developmental defect during embryogenesis
164726,Acute myeloid leukemia and myelodysplastic syndromes related to radiation,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=164726,250908,Rare neoplastic disease
324,Fabry disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324,68367,Rare inborn errors of metabolism
163985,Hyperekplexia-epilepsy syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163985,93890,Rare developmental defect during embryogenesis
778,Rett syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=778,98006,Rare neurologic disease
72,Angelman syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=72,98006,Rare neurologic disease
307,Juvenile myoclonic epilepsy,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=307,98006,Rare neurologic disease
1941,Juvenile absence epilepsy,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1941,98006,Rare neurologic disease
892,Von Hippel-Lindau disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=892,250908,Rare neoplastic disease
731,Autosomal recessive polycystic kidney disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=731,93626,Rare renal disease
164736,Familial advanced sleep-phase syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=164736,98006,Rare neurologic disease
138,CHARGE syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=138,93890,Rare developmental defect during embryogenesis
558,Marfan syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=558,98023,Rare systemic or rheumatologic disease
165805,Familial mesial temporal lobe epilepsy with febrile seizures,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=165805,98006,Rare neurologic disease
803,Amyotrophic lateral sclerosis,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=803,98006,Rare neurologic disease
100,Ataxia-telangiectasia,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=100,98006,Rare neurologic disease
733,Familial adenomatous polyposis,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=733,97935,Rare gastroenterologic disease
399,Huntington disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=399,98006,Rare neurologic disease
165955,Wound myiasis,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=165955,68416,Rare infectious disease
501,Lafora disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=501,98006,Rare neurologic disease
870,Down syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=870,93890,Rare developmental defect during embryogenesis
165958,Cavitary myiasis,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=165958,68416,Rare infectious disease
512,Metachromatic leukodystrophy,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=512,98006,Rare neurologic disease
166011,"Multiple epiphyseal dysplasia, Beighton type",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166011,93419,Rare bone disease
567,22q11.2 deletion syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=567,93890,Rare developmental defect during embryogenesis
166016,"Multiple epiphyseal dysplasia, Lowry type",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166016,93419,Rare bone disease
232,Sickle cell anemia,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=232,97992,Rare hematologic disease
536,Systemic lupus erythematosus,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=536,98023,Rare systemic or rheumatologic disease
166002,Multiple epiphyseal dysplasia due to collagen 9 anomaly,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166002,93419,Rare bone disease
534,Oculocerebrorenal syndrome of Lowe,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=534,93890,Rare developmental defect during embryogenesis
790,Retinoblastoma,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=790,250908,Rare neoplastic disease
165991,Exercise-induced hyperinsulinism,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=165991,68367,Rare inborn errors of metabolism
652,Multiple endocrine neoplasia type 1,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=652,250908,Rare neoplastic disease
908,Fragile X syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=908,93890,Rare developmental defect during embryogenesis
3099,Rheumatic fever,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=3099,98023,Rare systemic or rheumatologic disease
739,Prader-Willi syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=739,93890,Rare developmental defect during embryogenesis
47,X-linked agammaglobulinemia,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=47,98004,Rare immune disease
580,Mucopolysaccharidosis type 2,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=580,68367,Rare inborn errors of metabolism
579,Mucopolysaccharidosis type 1,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=579,68367,Rare inborn errors of metabolism
905,Wilson disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=905,57146,Rare hepatic disease
792,X-linked retinoschisis,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=792,97966,Rare ophthalmic disorder
163525,Subacute cutaneous lupus erythematosus,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163525,89826,Rare skin disease
827,Stargardt disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=827,97966,Rare ophthalmic disorder
906,Wiskott-Aldrich syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=906,98004,Rare immune disease
904,Williams syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=904,93890,Rare developmental defect during embryogenesis
280,Wolf-Hirschhorn syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=280,93890,Rare developmental defect during embryogenesis
162516,Isolated congenital nasal pyriform aperture stenosis,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=162516,93890,Rare developmental defect during embryogenesis
15,Achondroplasia,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=15,93419,Rare bone disease
96,Ataxia with vitamin E deficiency,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96,98006,Rare neurologic disease
162526,Isolated congenital auditory ossicle malformation,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=162526,98036,Rare otorhinolaryngologic disease
101,Dentatorubral pallidoluysian atrophy,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=101,98006,Rare neurologic disease
783,Rubinstein-Taybi syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=783,93890,Rare developmental defect during embryogenesis
163649,Spondyloepiphyseal dysplasia-craniosynostosis-cleft palate-cataracts-intellectual disability syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163649,93419,Rare bone disease
631,Non-acquired isolated growth hormone deficiency,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=631,97978,Rare endocrine disease
276,T-B+ severe combined immunodeficiency due to gamma chain deficiency,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=276,98004,Rare immune disease
163654,Spondyloepiphyseal dysplasia-brachydactyly-speech disorder syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163654,93419,Rare bone disease
481,Kennedy disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=481,98006,Rare neurologic disease
664,Ornithine transcarbamylase deficiency,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=664,68367,Rare inborn errors of metabolism
163668,"Spondyloepiphyseal dysplasia, MacDermot type",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163668,93419,Rare bone disease
163662,"Spondyloepiphyseal dysplasia, Reardon type",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163662,93419,Rare bone disease
394,Classic homocystinuria,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=394,68367,Rare inborn errors of metabolism
163665,"Spondyloepiphyseal dysplasia tarda, Kohn type",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163665,93419,Rare bone disease
508,Leprechaunism,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=508,97978,Rare endocrine disease
436,Hypophosphatasia,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=436,93419,Rare bone disease
163596,Hb Bart's hydrops fetalis,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163596,97992,Rare hematologic disease
429,Hypochondroplasia,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=429,93419,Rare bone disease
104,Leber hereditary optic neuropathy,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=104,97966,Rare ophthalmic disorder
2182,Hydrocephalus with stenosis of the aqueduct of Sylvius,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2182,93890,Rare developmental defect during embryogenesis
163634,Maffucci syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163634,93419,Rare bone disease
163717,Benign familial mesial temporal lobe epilepsy,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163717,98006,Rare neurologic disease
163708,Cryptogenic late-onset epileptic spasms,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163708,98006,Rare neurologic disease
636,Neurofibromatosis type 1,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=636,93890,Rare developmental defect during embryogenesis
163703,Febrile infection-related epilepsy syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163703,98006,Rare neurologic disease
649,Norrie disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=649,93890,Rare developmental defect during embryogenesis
163727,Rolandic epilepsy-paroxysmal exercise-induced dystonia-writer's cramp syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163727,98006,Rare neurologic disease
163721,Rolandic epilepsy-speech dyspraxia syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163721,93890,Rare developmental defect during embryogenesis
163684,Leukoencephalopathy-dystonia-motor neuropathy syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163684,98006,Rare neurologic disease
163681,CNTNAP2-related developmental and epileptic encephalopathy,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163681,98006,Rare neurologic disease
379,Chronic granulomatous disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=379,98004,Rare immune disease
16,Blue cone monochromatism,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=16,97966,Rare ophthalmic disorder
163699,Alveolar soft tissue sarcoma,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163699,250908,Rare neoplastic disease
644,NARP syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=644,98006,Rare neurologic disease
637,Neurofibromatosis type 2,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=637,98036,Rare otorhinolaryngologic disease
163696,Action myoclonus-renal failure syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163696,98006,Rare neurologic disease
181,X-linked hypohidrotic ectodermal dysplasia,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=181,93890,Rare developmental defect during embryogenesis
163693,2p21 microdeletion syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163693,68367,Rare inborn errors of metabolism
163690,Hypotonia-cystinuria syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163690,68367,Rare inborn errors of metabolism
337,Fibrodysplasia ossificans progressiva,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=337,93419,Rare bone disease
377,Gorlin syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=377,93890,Rare developmental defect during embryogenesis
648,Noonan syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=648,93890,Rare developmental defect during embryogenesis
281,Monosomy 5p,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=281,93890,Rare developmental defect during embryogenesis
752,"46,XY disorder of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=752,93890,Rare developmental defect during embryogenesis
214,Cystinuria,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=214,93626,Rare renal disease
510,Lesch-Nyhan syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=510,93890,Rare developmental defect during embryogenesis
524,Li-Fraumeni syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=524,250908,Rare neoplastic disease
699,Pearson syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=699,68367,Rare inborn errors of metabolism
640,Hereditary neuropathy with liability to pressure palsies,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=640,98006,Rare neurologic disease
60,Alpha-1-antitrypsin deficiency,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=60,97955,Rare respiratory disease
895,Waardenburg syndrome type 2,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=895,93890,Rare developmental defect during embryogenesis
