OrphaCode,Name,DisorderType,ClassificationLevel,Definition
365,Glycogen storage disease due to acid maltase deficiency,Disease,Disorder,"A rare lysosomal storage disease characterized by lysosomal accumulation of glycogen particularly in skeletal, cardiac, and respiratory muscles, as well as the liver and nervous system, due to acid maltase deficiency. The clinical spectrum comprises infantile-onset disease with severe hypertrophic cardiomyopathy, generalized muscle weakness, poor feeding and failure to thrive, and respiratory insufficiency, and late-onset disease manifesting before or after twelve months of age without cardiomyopathy, with proximal muscle weakness and respiratory insufficiency."
166087,Von Willebrand disease type 2B,Clinical subtype,Subtype of disorder,"A subtype of type 2 von Willebrand disease characterized by a bleeding disorder associated with increased affinity of the Willebrand factor (VWF) for platelets leading to rapid clearance of both the platelets (increasing the risk of thrombocytopenia) and VWF from the plasma. The disease manifests as mucocutaneous bleeding (menorrhagia, epistaxis, gastrointestinal hemorrhage, etc.)."
366,Glycogen storage disease due to glycogen debranching enzyme deficiency,Disease,Disorder,"Glycogen debranching enzyme (GDE) deficiency, or glycogen storage disease type 3 (GSD 3), is a form of glycogen storage disease characterized by severe muscle weakness and hepatopathy."
166093,Von Willebrand disease type 2N,Clinical subtype,Subtype of disorder,"A subtype of type 2 von Willebrand disease characterized by a bleeding disorder associated with a marked decrease in the affinity of the Willebrand factor (VWF) for factor VIII (FVIII). Abnormal bleeding manifestations are less frequent in this VWD subtype than in other forms of the disease. The disease manifests mainly as soft tissue bleeding (haematoma, post-operative bleeding, etc.)."
368,Glycogen storage disease due to muscle glycogen phosphorylase deficiency,Disease,Disorder,"Myophosphorylase deficiency (McArdle's disease), or glycogen storage disease type 5 (GSD5) , is a severe form of glycogen storage disease characterized by exercise intolerance."
166096,Von Willebrand disease type 3,Clinical subtype,Subtype of disorder,"A form of von Willebrand disease (VWD) characterized by a bleeding disorder associated with a total or near-total absence of Willebrand factor (VWF) in the plasma and cellular compartments, also leading to a profound deficiency of plasmatic factor VIII (FVIII). It is the most severe form of VWD."
367,Glycogen storage disease due to glycogen branching enzyme deficiency,Disease,Disorder,"Glycogen branching enzyme (GBE) deficiency (Andersen's disease or amylopectinosis), or glycogen storage disease type 4 (GSD4), is a rare and severe form of glycogen storage disease which accounts for approximately 3% of all the glycogen storage diseases (see these terms)."
166100,Autosomal dominant otospondylomegaepiphyseal dysplasia,Malformation syndrome,Disorder,"A rare, genetic, multiple congenital anomalies/dysmorphic syndrome characterized by craniofacial dysmorphism (midface hypoplasia, depressed nasal bridge, small nose with upturned tip, cleft palate, Pierre Robin sequence), bilateral, pronounced sensorineural hearing loss, and skeletal/joint anomalies (including spondyloepiphyseal dysplasia, arthralgia/arthropathy), in the absence of ocular abnormalities."
371,Glycogen storage disease due to muscle phosphofructokinase deficiency,Disease,Disorder,"Muscle phosphofructokinase (PFK) deficiency (Tarui's disease), or glycogen storage disease type 7 (GSD7), is a rare form of glycogen storage disease characterized by exertional fatigue and muscular exercise intolerance. It occurs in childhood."
166105,FASTKD2-related infantile mitochondrial encephalomyopathy,Disease,Disorder,"FASTKD2-related infantile mitochondrial encephalomyopathy is a rare, genetic, mitochondrial oxidative phosphorylation disorder characterized by infantile-onset encephalomyopathy presenting with developmental delay, slowly progressive hemiplegia, intractable epileptic seizures and asymmetrical brain atrophy with dilatation of the ipsilateral ventricle system. Additional features include optic atrophy, mildly increased plasma and/or CSF lactate and decreased cytochrome c oxidase activity in skeletal muscle biopsy."
369,Glycogen storage disease due to liver glycogen phosphorylase deficiency,Disease,Disorder,"Liver phosphorylase deficiency, or glycogen storage disease type 6b (Hers' disease, GSD 6b) is a benign and rare form of glycogen storage disease."
447,Paroxysmal nocturnal hemoglobinuria,Disease,Disorder,"Paroxysmal nocturnal hemoglobinuria (PNH) is an acquired clonal hematopoietic stem cell disorder characterized by corpuscular hemolytic anemia, bone marrow failure and frequent thrombotic events."
166108,"Intellectual disability, Birk-Barel type",Disease,Disorder,"Intellectual disability, Birk-Barel type is a rare, genetic, syndromic intellectual disability characterized by congenital central hypotonia, developmental delay, moderate to severe intellectual disability and subtle dysmorphic features which evolve over time (dolichocephaly, myopathic facies, ptosis, short and broad philtrum, tented upper lip vermillion, palatal anomalies, mild micro- and/or retrognathia). Patients present reduced facial movements, lethargy, weak cry, transient neonatal hypoglycemia, severe feeding difficulties and failure to thrive. Dysphagia, particularly of solid food, asthenic body build, joint contractures and scoliosis are additional features."
166113,Bazex syndrome,Disease,Disorder,Bazex syndrome is a rare paraneoplastic syndrome characterized by acral psoriasiform lesions.
535,Rare cutaneous lupus erythematosus,Clinical group,Group of disorders,Rare cutaneous lupus erythematosus (CLE) is an autoimmune disease that denotes a heterogeneous spectrum of clinical manifestations affecting the skin and can be divided into 4 categories: acute CLE (ACLE); subacute CLE (SCLE); chronic CLE (CCLE; the most diverse form); and intermittent CLE (ICLE). CLE can either occur alone or associated with systemic lupus erythematosus (SLE).
166119,Isolated osteopoikilosis,Disease,Disorder,"A rare primary bone dysplasia characterized by multiple, small, round to ovoid osteosclerotic foci with a predilection for the epiphyses and metaphyses of long tubular bones as well as the pelvis, scapula, carpal, and tarsal bones. The condition is usually clinically silent and discovered only incidentally, although some patients may experience mild articular pain with or without joint effusion. Bone strength is normal."
487,Krabbe disease,Disease,Disorder,"A rare lysosomal disorder that affects the white matter of the central and peripheral nervous systems characterized by neurodegeneration with severity depending on the age of onset (infantile, late-infantile, juvenile, adolescent and adulthood)."
166260,Dentinogenesis imperfecta type 2,Clinical subtype,Subtype of disorder,"Dentinogenesis imperfecta type 2 (DGI-2) is a rare, severe form of dentinogenesis imperfecta (DGI, see this term) and is characterized by weakness and discoloration of all teeth."
166265,Dentinogenesis imperfecta type 3,Clinical subtype,Subtype of disorder,"Dentinogenesis imperfecta type 3 (DGI-3) is a rare, severe form of dentinogenesis imperfecta (DGI, see this term) characterized by opalescent primary and permanent teeth, marked attrition, large pulp chambers, multiple pulp exposure and shell teeth radiographically (i.e. teeth which appear hollow due to dentin hypotrophy)."
583,Mucopolysaccharidosis type 6,Disease,Disorder,"Mucopolysaccharidosis type 6 (MPS 6) is a lysosomal storage disease with progressive multisystem involvement, associated with a deficiency of arylsulfatase B (ASB) leading to the accumulation of dermatan sulfate."
166272,Odontochondrodysplasia,Malformation syndrome,Disorder,"A rare primary bone dysplasia characterized by the association of spondylometaphyseal dysplasia, generalized joint laxity, and dentinogenesis imperfecta. Main skeletal abnormalities comprise short stature, narrow chest, scoliosis, mesomelic limb shortening, and brachydactyly. Radiographic features include severe metaphyseal irregularities of the tubular bones, platyspondyly with coronal clefts, cone-shaped epiphyses of the hands, square iliac wings, and coxa valga. Additional extraskeletal manifestations like pulmonary hypoplasia, cystic renal disease, and non-obstructive hydrocephalus have also been reported."
576,Mucolipidosis type II,Disease,Disorder,"A rare, severe form of mucolipidosis characterized by growth retardation, skeletal abnormalities (dysostosis multiplex, craniosynostosis, contractures of the joints and osteopenia), facial dysmorphism, stiff skin, obstructive airway, cardiomegaly and severe global developmental delay."
166277,Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia,Malformation syndrome,Disorder,"A rare skeletal disorder characterized clinically by multiple fractures, wormian bones of the skull, dentinogenesis imperfecta and facial dysmorphism (hypertelorism, periorbital fullness). Although the signs are very similar to osteogenesis imperfecta, characteristic cortical defects in the absence of osteopenia and collagen abnormalities are considered to be distinctive. There have been no further descriptions in the literature since 1999."
812,Sialidosis type 1,Disease,Disorder,"Sialidosis type 1 (ST-1) is a very rare lysosomal storage disease, and is the normosomatic form of sialidosis (see this term), characterized by gait abnormalities, progressive visual loss, bilateral macular cherry red spots and myoclonic epilepsy and ataxia, that usually presents in the second to third decade of life."
166282,Familial sick sinus syndrome,Disease,Disorder,"A rare cardiac rhythm disease, usually of the elderly, characterized by electrocardiographic findings of sinus bradycardia, atrial fibrillation, atrial tachycardia sinus arrest, or sino-atrial block, and that manifest with symptoms like syncope, dizziness, palpitations, fatigue, or even heart failure. It results from malfunction of the cardiac conduction system, probably secondary to degenerative fibrosis of nodal tissue in the elderly or secondary to cardiac disorders in younger patients."
578,Mucolipidosis type IV,Disease,Disorder,"A rare lysosomal storage disease characterized clinically by severe global development delay due to neuronal dysmyelination, hypotonia which gradually progresses to spasticity during childhood, speech deficits, progressive visual impairment (due to corneal clouding, retinal degeneration and optic atrophy), achlorhydria, with increased gastrin secretion and iron deficiency anemia, and kidney disease and failure, all in the absence of dysmorphic features."
166286,Porokeratotic eccrine ostial and dermal duct nevus,Disease,Disorder,"A rare lysosomal storage disease characterized clinically by severe global development delay due to neuronal dysmyelination, hypotonia which gradually progresses to spasticity during childhood, speech deficits, progressive visual impairment (due to corneal clouding, retinal degeneration and optic atrophy), achlorhydria, with increased gastrin secretion and iron deficiency anemia, and kidney disease and failure, all in the absence of dysmorphic features."
577,Mucolipidosis type III,Disease,Disorder,"A rare lysosomal disease characterized by dysmorphic features and skeletal changes, restricted joint mobility, short stature, and hand deformities (such as claw hands, stiffness of hands, carpal tunnel syndrome, inability to make fists). Most patients have normal intellectual capacity and the clinical progression is less rapid than that of mucolipidosis type II (MLII)."
166291,Dirofilariasis,Disease,Disorder,"Dirofilariasis is a form of filariasis (see this term), caused by the filarial nematode of the genus <i>Dirofilaria</i> (including <i>Dirofilaria repens</i>, <i>Dirofilaria immitis</i>), which is transmitted by mosquitoes. The disease is characterized by the presence of subcutaneous nodules (or a conjunctival form that develops slowly and that can be painless to tender), edema and erythema at the site of parasite localization, a feeling of 'crawling' under the skin, and the ''Calabar'' swelling (similar to thatin loiasis (see this term). The latter may last a few days and recurrences are possible. Common localizations of dirofilaria are head and neck, most commonly in the periorbital region, the limbs and trunk."
166295,Benign non-familial infantile seizures,Clinical group,Group of disorders,"Dirofilariasis is a form of filariasis (see this term), caused by the filarial nematode of the genus <i>Dirofilaria</i> (including <i>Dirofilaria repens</i>, <i>Dirofilaria immitis</i>), which is transmitted by mosquitoes. The disease is characterized by the presence of subcutaneous nodules (or a conjunctival form that develops slowly and that can be painless to tender), edema and erythema at the site of parasite localization, a feeling of 'crawling' under the skin, and the ''Calabar'' swelling (similar to thatin loiasis (see this term). The latter may last a few days and recurrences are possible. Common localizations of dirofilaria are head and neck, most commonly in the periorbital region, the limbs and trunk."
771,NON RARE IN EUROPE: Ulcerative colitis,Disease,Disorder,"Dirofilariasis is a form of filariasis (see this term), caused by the filarial nematode of the genus <i>Dirofilaria</i> (including <i>Dirofilaria repens</i>, <i>Dirofilaria immitis</i>), which is transmitted by mosquitoes. The disease is characterized by the presence of subcutaneous nodules (or a conjunctival form that develops slowly and that can be painless to tender), edema and erythema at the site of parasite localization, a feeling of 'crawling' under the skin, and the ''Calabar'' swelling (similar to thatin loiasis (see this term). The latter may last a few days and recurrences are possible. Common localizations of dirofilaria are head and neck, most commonly in the periorbital region, the limbs and trunk."
166308,Benign infantile focal epilepsy with midline spikes and waves during sleep,Disease,Disorder,"Benign infantile focal epilepsy with midline spikes and waves during sleep is a rare infantile epilepsy syndrome characterized by age of onset between 4 and 30 months, partial sporadic seizures presenting with motion arrest, staring, cyanosis and, less common, automatisms and lateralizing signs, and characteristic interictal sleep EEG changes consisting of a spike followed by a bell-shaped slow wave in the midline region."
166305,Benign infantile seizures associated with mild gastroenteritis,Disease,Disorder,"Benign infantile seizures associated with mild gastroenteritis is a rare infantile epilepsy syndrome characterized by benign afebrile seizures in previously healthy infants and children (age range 1 month to 6 years) with mild acute gastroenteritis without any central nervous system infection, severe dehydration, or electrolyte imbalances. In most cases the seizures are tonic-clonic with focal origin on EEG, occur between day 1 and 6 following onset of acute gastroenteritis, cease within 24 hours and do not persist after the illness."
2912,Poliomyelitis,Disease,Disorder,"Poliomyelitis is a viral infection caused by any of three serotypes of human poliovirus, which is part of the family of enteroviruses."
166302,Benign partial epilepsy with secondarily generalized seizures in infancy,Disease,Disorder,"Benign partial epilepsy with secondarily generalized seizures in infancy is a rare infantile epilepsy syndrome characterized by seizures presenting with motion arrest and staring. They are followed by generalized tonic-clonic convulsions with normal interictal EEG and focal paroxysmal discharges, followed by generalization in ictal EEG. Seizures usually occur in clusters and are responsive to treatment. Psychomotor development is normal."
166299,Benign partial epilepsy of infancy with complex partial seizures,Disease,Disorder,"Benign partial epilepsy of infancy with complex partial seizures is a rare infantile epilepsy syndrome characterized by complex partial seizures presenting with motion arrest, decreased responsiveness, staring, automatisms and mild clonic movements, with or without apneas, normal interictal EEG and focal, mostly temporal discharges in ictal EEG. Most often, seizures occur in clusters and have a good response to treatment. Psychomotor development is normal."
796,Sandhoff disease,Disease,Disorder,Sandhoff disease is a lysosomal storage disorder from the GM2 gangliosidosis family and is characterised by central nervous system degeneration.
166409,Photosensitive epilepsy,Disease,Disorder,"A rare reflex epilepsy characterized by seizures and photoparoxysmal responses triggered by flashing or flickering lights, or patterns. Exact nature of the stimulus and seizure type are variable. The disorder mainly presents in childhood and adolescence and can either occur as an isolated condition, or be associated to other epilepsy syndromes."
801,Scleroderma,Clinical group,Group of disorders,"Scleroderma is a rare autoimmune connective tissue disorder characterized by abnormal hardening of the skin and, sometimes, other organs. It is classified into two main forms: localized scleroderma and systemic sclerosis (SSc), the latter comprising three subsets; diffuse cutaneous SSc (dcSSc), limited cutaneous SSc (lcSSc) and limited SSc (lSSc) (see these terms)."
166311,Benign partial infantile seizures,Clinical group,Group of disorders,"Scleroderma is a rare autoimmune connective tissue disorder characterized by abnormal hardening of the skin and, sometimes, other organs. It is classified into two main forms: localized scleroderma and systemic sclerosis (SSc), the latter comprising three subsets; diffuse cutaneous SSc (dcSSc), limited cutaneous SSc (lcSSc) and limited SSc (lSSc) (see these terms)."
461,Recessive X-linked ichthyosis,Disease,Disorder,Recessive X-linked ichthyosis (RXLI) is a genodermatosis belonging to the Mendelian Disorders of Cornification (MeDOC) and characterized by generalized hyperkeratosis and scaling of the skin.
166421,Orgasm-induced seizures,Disease,Disorder,"Orgasm-induced seizures is a rare neurologic disease characterized by complex partial seizures with or without secondary generalization, or idiopathic primarily generalized epilepsy, triggered by sexual orgasm. Seizures usually start immediately, shortly after or a few hours after the achievement of orgasm, last a few seconds or minutes, and are followed, in very rare cases, by intense migraine."
856,NON RARE IN EUROPE: Tourette syndrome,Disease,Disorder,"Orgasm-induced seizures is a rare neurologic disease characterized by complex partial seizures with or without secondary generalization, or idiopathic primarily generalized epilepsy, triggered by sexual orgasm. Seizures usually start immediately, shortly after or a few hours after the achievement of orgasm, last a few seconds or minutes, and are followed, in very rare cases, by intense migraine."
166418,Eating reflex epilepsy,Disease,Disorder,"A rare reflex epilepsy characterized by in most cases complex partial seizures triggered by different components of eating, such as the sight of food, proprioceptive, olfactory or gustatory sensations, chewing, salivation, and gastric distension after food intake. The seizures may be idiopathic or associated with symptomatic localization-related epilepsies."
166415,Audiogenic seizures,Disease,Disorder,"A rare neurologic disease characterized by seizures that are triggered by acoustic stimulation, which can be simple (as in startle epilepsy) or complex (e.g. musicogenic seizures, seizures triggered by the voice)."
584,Mucopolysaccharidosis type 7,Disease,Disorder,"A rare, genetic lysosomal storage disease characterized by accumulation of glycosaminoglycans in connective tissue which results in progressive multisystem involvement with severity ranging from mild to severe. The most consistent features include musculoskeletal involvement (particularly dysostosis multiplex, joint restriction, thorax abnormalities, and short stature), limited vocabulary, intellectual disability, coarse facies with a short neck, pulmonary involvement (predominantly decreased pulmonary function), corneal clouding, and cardiac valve disease."
825,NON RARE IN EUROPE: Ankylosing spondylitis,Disease,Disorder,"A rare, genetic lysosomal storage disease characterized by accumulation of glycosaminoglycans in connective tissue which results in progressive multisystem involvement with severity ranging from mild to severe. The most consistent features include musculoskeletal involvement (particularly dysostosis multiplex, joint restriction, thorax abnormalities, and short stature), limited vocabulary, intellectual disability, coarse facies with a short neck, pulmonary involvement (predominantly decreased pulmonary function), corneal clouding, and cardiac valve disease."
166412,Hot water reflex epilepsy,Disease,Disorder,"Hot water reflex epilepsy is a rare neurologic disease characterized by the onset of generalized or focal seizures following immersion of the head in hot water, or with hot water being poured over the head. Primary generalized tonic-clonic seizures have been reported in rare cases."
166433,Reading seizures,Disease,Disorder,A rare reflex epilepsy characterized by reading-induced seizures which in most cases present with orofacial/jaw myoclonus possibly extending to the upper limbs but can also manifest as dyslexia or alexia and visual symptoms. In both variants secondary generalized tonic-clonic seizures may evolve if the stimulus is not interrupted. The disease typically begins in the second or third decade of life and may be inherited in an autosomal dominant pattern. It usually takes a benign course with little tendency to spontaneous seizures.
166430,Micturation-induced seizures,Disease,Disorder,"Micturation-induced seizures is a rare neurologic disease characterized by tonic posturing or clonic movements triggered by micturition, with bilateral or unilateral involvement of the extremities and with or without loss of consciousness. Developmental delay is reported in some cases."
881,Turner syndrome,Malformation syndrome,Disorder,"A rare chromosomal anomaly syndrome characterized by complete or partial loss of an X chromosome in phenotypic females, clinically manifesting with short stature, primary ovarian insufficiency as well as cardiovascular, renal, liver, autoimmune diseases, hearing loss and neurocognitive abnormalities."
166427,Startle epilepsy,Disease,Disorder,"Startle epilepsy is a rare neurologic disease characterized by frequent and spontaneous epileptic seizures (frequently with symmetrical or asymmetrical tonic features) triggered by a normal startle in response to a sudden and unexpected somatosensory (most frequently auditory) stimulus. Falls are common and can be traumatic. In most cases, the disease is associated with spastic hemi-, di-, or tetraplegia and intellectual disability."
166424,Thinking seizures,Disease,Disorder,"Thinking seizures is a rare neurologic disease characterized by seizures induced by specific cognitive tasks, such as calculation or solving arithmetic problems (e.g. Sudoku puzzle), playing thinking games (e.g. Rubik's cube, chess, cards), thinking, making decisions and abstract reasoning. Idiopathic generalized seizures are mainly involved, but partial epilepsies may, in rare cases, be observed."
95,Friedreich ataxia,Disease,Disorder,"Friedreich ataxia (FRDA) is an inherited neurodegenerative disorder classically characterized by progressive gait and limb ataxia, dysarthria, dysphagia, oculomotor dysfunction, loss of deep tendon reflexes, pyramidal tract signs, scoliosis, and in some, cardiomyopathy, diabetes mellitus, visual loss and defective hearing."
848,Beta-thalassemia,Disease,Disorder,Beta-thalassemia (BT) is characterized by deficiency (Beta+) or absence (Beta0) of synthesis of the beta globin chains of hemoglobin (Hb).
846,Alpha-thalassemia,Disease,Disorder,A rare inherited hemoglobinopathy characterized by impaired synthesis of two to all four alpha-globin chains leading to a variable clinical picture depending on the number of affected alleles.
586,Cystic fibrosis,Disease,Disorder,"A rare, genetic pulmonary disorder characterized by sweat, thick mucus secretions causing multisystem disease, chronic infections of the lungs, bulky diarrhea and short stature."
262,Duchenne and Becker muscular dystrophy,Clinical group,Group of disorders,"A group of rare, genetic, progressive muscular dystrophies, including Duchenne muscular dystrophy (DMD), Becker muscular dystrophy (BMD) and a symptomatic form in female carriers. The diseases represent a spectrum of severity ranging from progressive skeletal and cardiac muscle wasting and weakness (DMD, BMD) to less severe muscle weakness or isolated cardiomyopathy affecting carrier females."
261,Emery-Dreifuss muscular dystrophy,Disease,Disorder,"A neuromuscular disease that is characterized by muscular weakness and atrophy, with early joint contractures and cardiomyopathy."
550,MELAS,Disease,Disorder,"A rare neurometabolic genetic disorder which is progressive and multisystemic due to mitochondrial dysfunction and that is characterized by encephalomyopathy, lactic acidosis, and stroke-like episodes."
269,Facioscapulohumeral dystrophy,Disease,Disorder,"A rare neuromuscular disease characterized by progressive muscle weakness with focal involvement of the facial, shoulder and limb muscles."
480,Kearns-Sayre syndrome,Disease,Disorder,"A rare inborn error of metabolism that is characterized by progressive external ophthalmoplegia (PEO), pigmentary retinitis and an onset before the age of 20 years. Common additional features include deafness, cerebellar ataxia and heart block."
163898,OBSOLETE: Classic paraneoplastic limbic encephalitis,Disease,Disorder,"A rare inborn error of metabolism that is characterized by progressive external ophthalmoplegia (PEO), pigmentary retinitis and an onset before the age of 20 years. Common additional features include deafness, cerebellar ataxia and heart block."
163895,OBSOLETE: Paraneoplastic limbic encephalitis,Clinical group,Group of disorders,"Myofibrillar myopathy (MFM) describes a group of skeletal and cardiac muscle disorders, defined by the disintegration of myofibrils and aggregation of degradation products into intracellular inclusions, and is typically clinically characterized by slowly-progressive muscle weakness, which initially involves the distal muscles, but is highly variable and that can affect the proximal muscles as well as the cardiac and respiratory muscles in some patients."
163908,OBSOLETE: Limbic encephalitis with LGI1 antibodies,Disease,Disorder,"Myofibrillar myopathy (MFM) describes a group of skeletal and cardiac muscle disorders, defined by the disintegration of myofibrils and aggregation of degradation products into intracellular inclusions, and is typically clinically characterized by slowly-progressive muscle weakness, which initially involves the distal muscles, but is highly variable and that can affect the proximal muscles as well as the cardiac and respiratory muscles in some patients."
551,MERRF,Disease,Disorder,MERRF (Myoclonic Epilepsy with Ragged Red Fibers) syndrome is a mitochondrial encephalomyopathy characterized by myoclonic seizures.
597,Central core disease,Disease,Disorder,Central core disease (CCD) is an inherited neuromuscular disorder characterised by central cores on muscle biopsy and clinical features of a congenital myopathy.
607,Nemaline myopathy,Clinical group,Group of disorders,"Nemaline myopathy (NM) encompasses a large spectrum of myopathies characterized by hypotonia, weakness and depressed or absent deep tendon reflexes, with pathologic evidence of nemaline bodies (rods) on muscle biopsy."
163892,OBSOLETE: Limbic encephalitis,Clinical group,Group of disorders,"Nemaline myopathy (NM) encompasses a large spectrum of myopathies characterized by hypotonia, weakness and depressed or absent deep tendon reflexes, with pathologic evidence of nemaline bodies (rods) on muscle biopsy."
